definition_id,pinyin_id,ref_hanzi,ref_pinyin,definition_sn,pos,definition_cn
12783,3856,,,1,叹词,表示应诺
12784,3857,,,1,叹词,表示疑问
12785,3858,,,1,叹词,表示不以为然或出乎意料
12786,3859,,,1,动词,用力把东西从食道或气管里咳出来
12787,3860,,,1,,音译用字，用于“吡（bǐ）咯”等
12788,3861,,,1,叹词,表示知道
12789,3862,,,1,拟声词,模拟响亮而短促的声音
12790,3863,,,1,形容词,调皮
12791,3863,,,2,形容词,脾气古怪；乖僻
12792,3864,,,1,名词,生物体的细胞分泌的具有催化能力的蛋白质，可以促进体内的氧化作用、消化作用、发酵等，如蛋白酶、淀粉酶、凝血酶等。酶制剂广泛应用于食品、皮革、纺织、石油等工业以及医药卫生等方面
12793,3865,,,1,,歌词中的衬字。
12794,3866,,,1,,嘿（hēi）
12795,3867,,,1,拟声词,模拟气或水喷出来的声音
12796,3868,,,1,拟声词,模拟羊叫的声音
12797,3869,,,1,名词,金属元素，符号U。银白色，有放射性，化学性质活泼。是最基本的核燃料，可用来产生原子能，制造原子弹、建造原子反应堆和核电站
12798,3870,,,1,动词,从嘴里慢慢地吐气
12799,3870,,,2,拟,声模拟撮口吐气的声音，多用于表示制止
12800,3871,,,1,叹词,表示制止说话或驱赶家禽
12801,3870,,,3,动词,蒸汽或热力接触物体引起变化
12802,3870,,,4,动词,〈文〉叹气
12803,3872,,,1,拟声词,模拟某些发声器发出的声音
12804,3872,,,2,动词,〈口〉（嘴巴）向前撅着
12805,3873,,,1,名词,我国古代北方的一个民族；泛指古代北方各民族
12806,3874,,,1,拟声词,模拟重物落下或击鼓、敲门等的声音
12807,3875,,,1,名词,金属元素，符号：Ba。银白色，有延展性，易氧化。可用作去氧剂，也用于制造合金、焰火等
12808,3876,,,1,名词,金属元素，符号：Ti。银灰色，质硬而轻，延展性强，熔点较高，耐腐蚀。可用来制造特种合金钢
12809,3877,,,1,名词,金属元素，符号：Ni。银白色，质坚韧，有磁性和良好的延展性，在空气中不氧化。用于电镀及制造不锈钢和其他各种精密合金；也用于制造蓄电池和硬币等
12810,3878,,,1,名词,〈文〉篱笆
12811,3879,,,1,名词,草木的枝茎
12812,3879,,,2,名词,斧头的柄
12813,3880,,,1,副词,〈文〉表示禁止或劝阻，相当于“不要”、“不可”
12814,3881,,,1,名词,旧时男子除正妻以外另娶的女子
12815,3881,,,2,名词,古时女子的谦称
12816,3882,,,1,名词,金属元素，符号：Ra。银白色，放射性强，具有强大穿透力，并不断大量放热。用于治疗癌症；镭盐和铍粉的混合制剂可以作为中子源，用于地质勘测。
12817,3883,,,1,动词,目光很快地掠过
12818,3884,,,1,名词,甘肃的别称
12819,3884,,,2,名词,陇山，山名，在甘肃和陕西交界的地方
12820,3885,,,1,动词,烹调方法，把食物放在锅里，加少量的水，扣紧锅盖，用文火慢煮，使物熟汤干
12821,3886,,,1,动词,考察；鉴别
12822,3887,,,1,名词,旧时作货币用的浇铸成形的金块、银块
12823,3887,,,2,名词,锭状的东西（多指金属或药物）
12824,3887,,,3,量词,用于锭状物
12825,3887,,,4,名词,纺纱机上绕纱的机件
12826,3888,,,1,拟声词,模拟物体碰撞、断裂等的声音
12827,3889,,,1,,音译用字，用于“咔叽”、“咔唑”等
