rank,hanzi
5501,汭
5502,怏
5503,霈
5504,箐
5505,樘
5506,韫
5507,俣
5508,匜
5509,峤
5510,菔
5511,俶
5512,鹳
5513,疠
5514,縻
5515,阕
5516,倓
5517,姞
5518,犍
5519,谶
5520,亳
5521,贽
5522,挈
5523,萁
5524,劢
5525,赍
5526,荩
5527,侪
5528,坩
5529,欸
5530,唛
5531,楸
5532,纻
5533,苠
5534,掮
5535,柰
5536,菘
5537,稗
5538,臌
5539,螬
5540,琇
5541,樨
5542,畹
5543,髌
5544,颏
5545,傩
5546,艴
5547,诳
5548,耠
5549,涞
5550,稣
5551,隰
5552,徭
5553,诌
5554,溏
5555,跸
5556,橼
5557,栝
5558,蓰
5559,禳
5560,雒
5561,缫
5562,铩
5563,嫠
5564,酏
5565,阏
5566,勖
5567,窬
5568,虢
5569,钬
5570,郓
5571,缙
5572,馕
5573,秣
5574,罽
5575,阢
5576,栟
5577,蘼
5578,鸺
5579,僦
5580,鄹
5581,缂
5582,钕
5583,赜
5584,粝
5585,砟
5586,瞍
5587,溽
5588,恚
5589,豇
5590,鹞
5591,褙
5592,跶
5593,撖
5594,踟
5595,碡
5596,祢
5597,蚰
5598,髀
5599,觖
5600,篾
5601,斫
5602,忸
5603,藁
5604,鲃
5605,妫
5606,湟
5607,褫
5608,滗
5609,戗
5610,眦
5611,镔
5612,螣
5613,郯
5614,殁
5615,轭
5616,辁
5617,蓍
5618,哚
5619,肭
5620,镩
5621,焘
5622,翥
5623,砀
5624,姒
5625,鹀
5626,镤
5627,玡
5628,黻
5629,缡
5630,簋
5631,佶
5632,圮
5633,獯
5634,蜃
5635,珲
5636,莙
5637,埭
5638,鄄
5639,篼
5640,窅
5641,俳
5642,锶
5643,闼
5644,鞯
5645,跣
5646,觚
5647,荭
5648,磉
5649,脒
5650,穑
5651,褰
5652,颛
5653,癔
5654,蠊
5655,埘
5656,垆
5657,鹕
5658,笤
5659,哕
5660,旄
5661,旒
5662,笫
5663,笱
5664,辇
5665,诨
5666,廛
5667,鲋
5668,沄
5669,碇
5670,酹
5671,窭
5672,馑
5673,撺
5674,蚬
5675,漶
5676,鹆
5677,哓
5678,璩
5679,屐
5680,璘
5681,胨
5682,嫱
5683,蚨
5684,徼
5685,鋆
5686,菽
5687,苻
5688,咝
5689,蔸
5690,尻
5691,榇
5692,鹁
5693,厍
5694,嫒
5695,沆
5696,畀
5697,玚
5698,芄
5699,怩
5700,凼
5701,槠
5702,莸
5703,膂
5704,轼
5705,迨
5706,枞
5707,洄
5708,湫
5709,璪
5710,掾
5711,泅
5712,浡
5713,倞
5714,猊
5715,粞
5716,鳜
5717,胪
5718,佤
5719,裼
5720,鲌
5721,嵴
5722,柽
5723,嘏
5724,鲅
5725,钌
5726,仃
5727,帔
5728,歙
5729,碥
5730,俦
5731,荦
5732,鹌
5733,掼
5734,珥
5735,逯
5736,觇
5737,骺
5738,蜮
5739,竑
5740,髑
5741,邛
5742,偾
5743,狷
5744,蕹
5745,鄱
5746,缧
5747,锩
5748,睚
5749,廪
5750,鼗
5751,鬯
5752,罱
5753,搠
5754,铙
5755,耒
5756,垌
5757,溆
5758,枋
5759,棰
5760,垸
5761,襦
5762,猗
5763,枨
5764,邙
5765,饫
5766,韪
5767,瀵
5768,杓
5769,铍
5770,醅
5771,荑
5772,笪
5773,酆
5774,窳
5775,趿
5776,攮
5777,瓿
5778,颋
5779,鲞
5780,缯
5781,嘬
5782,洎
5783,凫
5784,耢
5785,鹘
5786,蜍
5787,殳
5788,葸
5789,酢
5790,疴
5791,彳
5792,薨
5793,氡
5794,谮
5795,阃
5796,氅
5797,洮
5798,纥
5799,躅
5800,胝
5801,陉
5802,鲇
5803,晡
5804,穸
5805,邳
5806,庠
5807,鞲
5808,洹
5809,孀
5810,簦
5811,鼐
5812,诒
5813,鲙
5814,蟛
5815,弁
5816,焌
5817,氆
5818,臬
5819,垟
5820,秭
5821,卮
5822,赳
5823,钭
5824,颟
5825,鸫
5826,艽
5827,葑
5828,蒟
5829,埸
5830,鲩
5831,闳
5832,眭
5833,僰
5834,坌
5835,薤
5836,牝
5837,蕲
5838,袢
5839,戽
5840,笏
5841,芴
5842,骘
5843,锸
5844,遘
5845,峄
5846,暌
5847,锇
5848,锓
5849,裣
5850,蟊
5851,聱
5852,逖
5853,窀
5854,锔
5855,瘥
5856,炻
5857,疳
5858,辏
5859,笳
5860,潲
5861,阒
5862,垞
5863,鹇
5864,鲺
5865,襻
5866,餍
5867,卺
5868,檩
5869,酡
5870,鲻
5871,煺
5872,篁
5873,婳
5874,榧
5875,蓐
5876,逵
5877,狺
5878,薮
5879,嗄
5880,蚍
5881,搦
5882,昃
5883,笮
5884,黩
5885,揆
5886,馃
5887,碛
5888,籴
5889,驽
5890,氇
5891,雠
5892,愀
5893,鳙
5894,皴
5895,瘳
5896,癃
5897,迓
5898,镈
5899,徨
5900,锞
5901,荬
5902,砘
5903,簟
5904,肼
5905,蕖
5906,汨
5907,羼
5908,绠
5909,槭
5910,醌
5911,嶝
5912,潆
5913,顸
5914,镱
5915,辋
5916,撙
5917,埙
5918,钪
5919,溧
5920,硭
5921,胙
5922,侔
5923,襞
5924,眄
5925,舄
5926,燏
5927,绁
5928,缑
5929,蒹
5930,奭
5931,砜
5932,笕
5933,偬
5934,铪
5935,胼
5936,鲽
5937,抟
5938,逄
5939,逭
5940,鳓
5941,焓
5942,黾
5943,螽
5944,镫
5945,酃
5946,瀣
5947,跬
5948,唿
5949,槁
5950,呶
5951,疔
5952,荛
5953,堋
5954,儋
5955,觜
5956,羝
5957,屦
5958,尥
5959,彘
5960,毳
5961,啁
5962,馗
5963,缟
5964,磔
5965,讦
5966,醢
5967,锖
5968,籀
5969,嗾
5970,骓
5971,琯
5972,鹱
5973,柙
5974,辂
5975,祼
5976,硇
5977,墁
5978,谡
5979,樯
5980,蔟
5981,钚
5982,棼
5983,鲠
5984,缶
5985,狎
5986,咭
5987,蹾
5988,薜
5989,圹
5990,肫
5991,敫
5992,谳
5993,箬
5994,蒴
5995,绹
5996,荥
5997,蕞
5998,踺
5999,苊
6000,艚
6001,珐
6002,鲣
6003,鲮
6004,螭
6005,狴
6006,貊
6007,倬
6008,醵
6009,嗍
6010,茕
6011,炱
6012,懑
6013,仡
6014,邾
6015,裎
6016,齑
6017,觳
6018,檠
6019,鞅
6020,笸
6021,撄
6022,仵
6023,俵
6024,袼
6025,鬈
6026,珰
6027,檫
6028,骒
6029,畛
6030,佥
6031,猱
6032,猞
6033,洺
6034,嗥
6035,潵
6036,哙
6037,豸
6038,眵
6039,洇
6040,牾
6041,昴
6042,嬖
6043,笾
6044,铈
6045,娈
6046,皤
6047,礅
6048,穰
6049,鲹
6050,箨
6051,诎
6052,圬
6053,髭
6054,唣
6055,洨
6056,癯
6057,谂
6058,暾
6059,渫
6060,鳊
6061,颙
6062,劭
6063,氍
6064,朊
6065,莶
6066,彀
6067,髫
6068,罴
6069,锊
6070,彖
6071,匐
6072,俅
6073,跽
6074,沚
6075,诹
6076,鸹
6077,秾
6078,踬
6079,晳
6080,垱
6081,耪
6082,炅
6083,劬
6084,谠
6085,槊
6086,毹
6087,鹟
6088,绻
6089,泺
6090,悛
6091,艋
6092,鳢
6093,疰
6094,郤
6095,狁
6096,蜩
6097,趱
6098,醭
6099,琤
6100,魃
6101,隳
6102,醯
6103,濉
6104,菪
6105,帻
6106,焜
6107,翯
6108,鸶
6109,搋
6110,鼋
6111,郏
6112,憷
