rank,hanzi,pinyin,mismatch_parsed,invalid_parsed,has_subdefs,raw_html
5501,汭,ruì,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>汭</x-hw><x-pr> ruì</x-pr>
<dt>〈文〉<x-gram>名</x-gram>水流汇合或弯曲处<x-f>。</x-f></dt>
"
5502,怏,yàng,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>怏</x-hw><x-pr> yàng</x-pr><br><x-gram>形</x-gram>形容不满意或不高兴<x-f>。</x-f></dt><dd><x-ex><x-key>怏</x-key>然不悦</x-ex><x-ex><x-lb> | </x-lb><x-key>怏</x-key><x-key>怏</x-key>不乐</x-ex></dd><t-note><x-lb>用法说明</x-lb>不读 yāng<x-f>。</x-f></t-note>
"
5503,霈,pèi,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>霈</x-hw><x-pr> pèi</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>形</x-gram>形容雨、雪等盛多<x-f>。</x-f></dt><dd><x-ex>雨<x-key>霈</x-key></x-ex><x-ex><x-lb> | </x-lb>云<x-key>霈</x-key></x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>名</x-g>大雨<x-f>。</x-f></dt><dd><x-ex>普降甘<x-key>霈</x-key></x-ex></dd>
"
5504,箐,qìng,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>箐</x-hw><x-pr> qìng</x-pr>
<dt><x-gram>名</x-gram>竹木丛生的山谷（多用于地名）<x-f>。</x-f></dt><dd><x-ex>梅子<x-key>箐</x-key>（在云南）</x-ex><x-ex><x-lb> | </x-lb>杉木<x-key>箐</x-key>（在贵州）<x-f>。</x-f></x-ex></dd>
"
5505,樘,táng,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>樘</x-hw><x-pr> táng</x-pr>
<dt><x-sn>①</x-sn><x-gram>名</x-gram>门或窗户的框<x-f>。</x-f></dt><dd><x-ex>门<x-key>樘</x-key></x-ex><x-ex><x-lb> | </x-lb>窗<x-key>樘</x-key></x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>量</x-g>用于一副门扇和门框或一副窗扇和窗框<x-f>。</x-f></dt><dd><x-ex>两<x-key>樘</x-key>门</x-ex><x-ex><x-lb> | </x-lb>四<x-key>樘</x-key>窗</x-ex></dd>
"
5506,韫,yùn,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>韫</x-hw><x-pr> yùn</x-pr>（韞）<br>〈文〉<x-gram>动</x-gram>包藏；蕴含<x-f>。</x-f></dt><dd><x-ex><x-key>韫</x-key>椟而藏（收在柜子里藏起来）<x-f>。</x-f></x-ex></dd>
"
5507,俣,yǔyǔ,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>俣</x-hw><x-pr> yǔ</x-pr>俣俣<x-pr> yǔyǔ</x-pr>形〈文〉
<dt>身体魁伟<x-f>。</x-f></dt><dd><x-ex>硕人<x-key>俣俣</x-key></x-ex></dd>
"
5508,匜,yí,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>匜</x-hw><x-pr> yí</x-pr>
<dt><x-gram>名</x-gram>古代一种形状像瓢的器具，盛水、酒用<x-f>。</x-f></dt>
"
5509,峤,qiáo,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>峤</x-hw><x-pr> jiào</x-pr>（嶠）
<dt>〈文〉<x-gram>名</x-gram>山道<x-f>。</x-f></dt>
<dt><x-ref>另见</x-ref><a href=""entry://峤"" type=""seealso"">qiáo</a><x-f>。</x-f></dt><hr><dt class='title'><x-hw>峤</x-hw><x-pr> qiáo</x-pr>（嶠）
<dt>〈文〉<x-gram>形</x-gram>山又高又尖<x-f>。</x-f></dt>
<dt><x-ref>另见</x-ref><a href=""entry://峤"" type=""seealso"">jiào</a><x-f>。</x-f>
"
5510,菔,fú,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>菔</x-hw><x-pr> fú</x-pr>
<dt>见“<a href=""entry://莱菔"" type=""see"">莱（lái）菔</a>”<x-f>。</x-f>
"
