rank,hanzi,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
198,己,jǐ,,,,见“ 干支 ”,
279,呢,nī,,,,见“ 吽（hōng） ” 另见 ne ní,
389,台,tái,,,,见“ 台风 ”,
465,支,zhī,,,,见“ 烛 ”,
815,苏,sū,,,,见“ 噜（lū）苏 ”,
863,板,bǎn,,,,见“ 老板 ”,
934,胡,hú,,,,见“ 胡同 ”,
1042,嘛,má,,,,见“ 吽（hōng） ” 另见 ma,
1072,秋,qiū,,,,见“ 秋千 ”,
1143,申,shēn,,,,见“ 天干 ”,
1200,圆,yuán,,,名,见“元3”①② 现在一般写作“元”,
1372,辛,xīn,,,,见“ 干支 ”,
1390,勤,qín,,,,见“ 殷勤 ”,
1789,璃,lí,,,,见“玻璃”,
1876,萄,táo,,,,见“ 葡（pú）萄 ”,
1913,圾,jī,,,,见“ 垃圾 ” 用法说明 统读 jī，不读 jí,
2280,辰,chén,,,,见“支1”⑤,
2542,蓉,róng,,,名,见“ 芙蓉 ” 四川成都的别称 蓉 城 ○ 瓜果、豆类煮熟晒干后磨成的粉状物，可以做糕点馅 儿 椰 蓉 | 莲 蓉 | 豆 蓉 ○ 姓,
2590,咐,fù,,,,见“吩咐”,
2631,丙,bǐng,,,,见“ 干支 ”,
2797,叭,bā,,,,见“ 吽（hōng） ”,
2864,榄,lǎn,,,,见“ 橄榄 ”,
2927,肪,fáng,,,,见“ 脂肪 ” 用法说明 统读 fáng，不读 fāng,
2946,徊,huái,,,,见“ 徘徊 ” 用法说明 统读 huái，不读 huí,
3070,嗦,suō,,,,见“ 哆（duō）嗦 ” ○ 见“ 啰（luō）嗦 ”,
3089,咙,lóng,,,,见“ 喉咙 ”,
3092,寅,yín,,,,见“ 地支 ”,
3123,痪,huàn,,,,见“ 瘫痪 ”,
3261,瑙,nǎo,,,,见“ 玛瑙 ” 用法说明 右边不能类推简化成“㐫”,
3274,蝠,fú,,,,见“ 蝙（biān）蝠 ”,
3324,戊,wù,,,,见“ 干支 ” 用法说明 见“ 戍（shù） ”,
3333,湃,pài,,,,见“ 澎（péng）湃 ” 用法说明 统读 pài，不读 bài,
3334,悴,cuì,,,,见“ 憔（qiáo）悴 ”,
3340,狈,bèi,,,,见“ 狼狈 ”,
3347,皿,mǐn,,,,见“ 器皿 ” 用法说明 统读 mǐn，不读 míng,
3396,雳,lì,,,,见“ 霹（pī）雳 ”,
3397,俐,lì,,,,见“ 伶俐 ”,
3426,鹉,wǔ,,,,见“ 鹦（yīng）鹉 ”,
3440,窿,lóng,,,,见“ 窟窿（long） ”,
3456,蜓,tíng,,,,见“ 蜻（qīng）蜓 ”,
3463,躏,lìn,,,,见“ 蹂（róu）躏 ”,
3471,蟀,shuài,,,,见“ 蟋（xī）蟀 ” 用法说明 统读 shuài，不读 shuò,
3488,癸,guǐ,,,,见“ 干支 ” 用法说明 ㊀不读 kuí。㊁上边是“癶”，不是“ ”。由“癸”构成的字有“葵” “睽” “揆” “暌”等,
3492,蚪,dǒu,,,,见“ 蝌蚪 ”,
3495,蚣,gōng,,,,见“ 蜈（wú）蚣 ”,
