rank,hanzi,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
3501,耶,yé,,,助,〈文〉用在句末，表示疑问或反问的语气，相当于“吗” “呢”,然则何时而乐 耶 ?
3502,嗯,éng,,,叹,〈口〉 表示疑问,嗯 ?你怎么不说话了?
3502,嗯,éng,,,叹,〈口〉 表示疑问,你说什么， 嗯 ?
3503,咯,kǎ,,,动,用力把东西从食道或气管里咳出来,把鱼刺 咯 出来
3503,咯,kǎ,,,动,用力把东西从食道或气管里咳出来,咯 痰
3503,咯,kǎ,,,动,用力把东西从食道或气管里咳出来,咯 血
3503,咯,luò,,,,音译用字，用于“吡（bǐ）咯”等,
3504,麽,mó,,,名,见“ 幺（yāo）麽 ” ○ 姓 另见 me“ 么 ”,
3505,噢,ō,,,叹,表示知道,噢 ，明白了!
3506,於,yū,,,名,姓,
3506,於,yú,,,,"用于地名。如：於陵，古地名，在今山东邹平东南；於潜，旧县名，在浙江,1960年并入临安",
3508,暨,jì,,,动,〈文〉到；至,自古 暨 今
3508,暨,jì,,,连,连接并列的名词或名词性短语，相当于“和” “与” “及”,竣工典礼 暨 庆功大会 。
3509,噶,gá,,,,音译用字，用于“噶伦”（原西藏地方政府的主要官员）、“噶厦”（gáxià，原西藏地方政府）、“萨噶达瓦节”（藏族地区纪念释迦牟尼诞辰的节日）等,
3512,瑶,yáo,,,名,美玉,琼 瑶
3512,瑶,yáo,,,名,美玉,瑶 琴（镶玉的琴） 。
3512,瑶,yáo,,,形,美好的,瑶 函（对别人书信的尊称）
3512,瑶,yáo,,,形,美好的,瑶 浆（美酒）
3513,酶,méi,,,名,生物体的细胞分泌的具有催化能力的蛋白质，可以促进体内的氧化作用、消化作用、发酵等，如蛋白酶、淀粉酶、凝血酶等。酶制剂广泛应用于食品、皮革、纺织、石油等工业以及医药卫生等方面,
3514,嗨,hāi,,,,同 “咳（hāi）” 现在一般写作“咳”,
3514,嗨,hāi,,,,○ 歌词中的衬字,嗨 啦啦
3514,嗨,hāi,,,,○ 歌词中的衬字,呼儿 嗨 哟
3515,廖,liào,,,名,姓,
3516,佬,lǎo,,,名,称成年男人（有时含轻蔑意）,大 佬
3516,佬,lǎo,,,名,称成年男人（有时含轻蔑意）,阔 佬
3517,噗,pū,,,拟声,模拟气或水喷出来的声音,噗 的一下吹灭了蜡烛
3517,噗,pū,,,拟声,模拟气或水喷出来的声音,泉水 噗 噗 往上冒
3518,婷,tíng,,,名,姓,
3519,摺,zhé,,,,同 “折” 用法说明 “摺”简化为“折”，但在“摺”和“折”意义可能混淆时，《简化字总表》规定仍用“摺” 另见 zhé“折”,
3520,尹,yǐn,,,名,古代官名，一般为一地的长官,京兆 尹
3520,尹,yǐn,,,名,古代官名，一般为一地的长官,令 尹
3520,尹,yǐn,,,名,古代官名，一般为一地的长官,府 尹
3520,尹,yǐn,,,名,古代官名，一般为一地的长官,道 尹
3520,尹,yǐn,,,名,○ 姓,
3521,霖,lín,,,名,〈文〉 久下不停的雨,霖 雨
3521,霖,lín,,,名,〈文〉 久下不停的雨,甘 霖
3522,裔,yì,,,名,〈文〉衣服边,
3522,裔,yì,,,名,〈文〉边缘；边远的地方,四 裔
3522,裔,yì,,,名,〈文〉边缘；边远的地方,边 裔
3522,裔,yì,,,名,后代,后 裔
3522,裔,yì,,,名,后代,华 裔
3524,眸,móu,,,名,〈文〉 眼珠；泛指眼睛,回 眸 一笑
3524,眸,móu,,,名,〈文〉 眼珠；泛指眼睛,明 眸 皓齿
3524,眸,móu,,,名,〈文〉 眼珠；泛指眼睛,凝 眸
3526,睿,ruì,,,形,眼光深远；通达,聪明 睿 智
3527,铀,yóu,,,名,金属元素，符号U。银白色，有放射性，化学性质活泼。是最基本的核燃料，可用来产生原子能，制造原子弹、建造原子反应堆和核电站,
3528,郅,zhì,,,副,〈文〉极；最,郅 治（最太平）
3528,郅,zhì,,,副,〈文〉极；最,郅 隆（极昌盛）
3528,郅,zhì,,,名,○ 姓,
3529,萃,cuì,,,动,汇集,荟 萃
3529,萃,cuì,,,名,指聚集在一起的人或物,出类拔 萃
3530,噬,shì,,,动,〈文〉 咬,噬 脐莫及
3530,噬,shì,,,动,〈文〉 咬,噬 啮
3530,噬,shì,,,动,〈文〉 咬,吞 噬
3530,噬,shì,,,动,〈文〉 咬,反 噬
3531,嘘,shī,,,叹,表示制止说话或驱赶家禽,嘘 !别说话
3531,嘘,shī,,,叹,表示制止说话或驱赶家禽,嘘 ，回窝里去!
3531,嘘,xū,,,动,从嘴里慢慢地吐气,嘘 了一口气
