rank,hanzi,pinyin,ref_pinyin,ref_hanzi,pos,definition,example
21,会,huì,huìr,会儿,,一小段时间,再坐一 会儿
21,会,huì,huìr,会儿,,一小段时间,用不了多大 会儿
21,会,huì,huìr,会儿,,一小段时间,请等 会儿
704,似,shì,shìde,似的,,用在词或短语之后，表示跟某种事物或情况相像,他像兔子 似的 跑了
704,似,shì,shìde,似的,,用在词或短语之后，表示跟某种事物或情况相像,淋得落汤鸡 似的
704,似,shì,shìde,似的,,用在词或短语之后，表示跟某种事物或情况相像,看起来很轻松 似的 。
1216,丁,zhēng,zhēngzhēng,丁丁,,模拟砍树、落棋子、弹琴等的声音,伐木 丁丁
1308,扎,zhá,zházheng,扎挣,,勉强支持,老太太 扎挣 着挪了两步 。
1353,汤,shāng,shāngshāng,汤汤,,形容水大流急,浩浩 汤汤
1399,仔,zī,zījiān,仔肩,,担负的责任,
1682,怜,líng,línglì,伶俐,,现在一般写作“伶俐”,
1695,吵,chāo,chaochao,吵吵,,许多人乱嚷嚷,别 吵吵 ，好好听他说 。
1701,夹,gā,gāzhiwō,胳肢窝,,现在一般写作“胳肢窝”,
2432,雀,qiāo,qiāozi,雀子,,雀（què）斑,
2693,栖,xī,xīxī,栖栖,,忙碌；不安定,
2849,叨,dáo,dáogu,叨咕,,小声叨叨,你们俩在那 儿 叨咕 什么呢?
2886,矫,jiáo,jiáoqing,矫情,,强（qiǎng）词夺理,这人好（hào） 矫情 。
2981,蚂,mà,màzha,蚂蚱,,蝗虫,
2981,蚂,mā,mālang,蚂螂,,蜻蜓,
3027,轧,yà,yàyà,轧轧,,模拟机器开动的声音,机声 轧轧
3027,轧,yà,yàyà,轧轧,,模拟机器开动的声音,缫车 轧轧 地响了一夜 。
3104,肋,lē,lēte,肋脦,,邋遢,别穿戴得那么 肋脦 !
3211,坷,kē,kēla,坷垃,,土块,土 坷垃
3211,坷,kē,kēla,坷垃,,土块,把 坷垃 砸碎
3575,莞,wǎn,wǎn'ěr,莞尔,,形容微笑的样子,相顾 莞尔
3575,莞,wǎn,wǎn'ěr,莞尔,,形容微笑的样子,莞尔 一笑
3648,邂,xiè,xièhòu,邂逅,,事先没有相约而遇见,途中 邂逅 故友
3854,嘤,yīng,yīngyīng,嘤嘤,,模拟低微的哭泣声,嘤嘤 悲泣
3854,嘤,yīng,yīngyīng,嘤嘤,,模拟鸟叫声,
3882,菡,hàn,hàndàn,菡萏,,莲花,
4016,氤,yīn,yīnyūn,氤氲,,形容烟云弥漫的样子,云烟 氤氲
4160,泱,yāng,yāngyāng,泱泱,,形容水面深广或气势宏大,江水 泱泱
4160,泱,yāng,yāngyāng,泱泱,,形容水面深广或气势宏大,泱泱 大国
4457,葳,wēi,wēiruí,葳蕤,,（草木枝叶）茂盛,
4466,莘,shēn,shēnshēn,莘莘,,众多,莘莘 学子
4512,雎,jū,jūjiū,睢鸠,,见“ 鹗 ” 用法说明 跟“睢（suī）”不同。“雎”左边是“ ”，不是“目”,
4512,雎,jū,jūjiū,睢鸠,,鱼鹰,
4744,萋,qī,qīqī,萋萋,,形容（草）茂盛的样子,芳草 萋萋
4830,踯,zhí,zhízhú,踯躅,,徘徊不前,踯躅 街头
4833,膈,gè,gèying,膈应,,讨厌；恶心,一闻见这种气味 儿 ，心里就 膈应
4833,膈,gè,gèying,膈应,,讨厌；恶心,快把这只死耗子弄走，别 膈应 我 。
4931,蓁,zhēn,zhēnzhēn,蓁蓁,,形容草木茂盛的样子,桃之夭夭，其叶 蓁蓁 。
5005,汩,gǔ,gǔgǔ,汩汩,,模拟水流动的声音,泉水 汩汩 流淌
5060,骅,huá,huáliú,骅骝,,赤色的骏马；泛指骏马,骅骝 骐骥，日行千里 。
5140,缱,qiǎn,qiǎnquǎn,缱绻,,感情深厚，情意缠绵,两情 缱绻
5140,缱,qiǎn,qiǎnquǎn,缱绻,,感情深厚，情意缠绵,缱绻 柔情
5176,陂,pō,pōtuó,陂陀,,倾斜不平,山路 陂陀 起伏
5182,倥,kǒng,kǒngzǒng,倥偬,,事务繁忙、紧迫,戎马 倥偬
5185,嗫,niè,nièrú,嗫嚅,,吞吞吐吐，想说又不敢说,
5193,淙,cóng,cóngcóng,淙淙,,模拟流水的声音,溪水 淙淙
5362,潋,liàn,liànyàn,潋滟,,形容水波荡漾的样子,湖光 潋滟
5396,噌,chēng,chēnghóng,噌吰,,模拟钟鼓的声音,
5507,俣,yǔ,yǔyǔ,俣俣,,身体魁伟,硕人 俣俣
5575,阢,wù,wùniè,阢陧,,（局势、心情等）不安定,大局 阢陧
5576,栟,bīng,bīnglǘ,栟榈,,棕榈,
5585,砟,zuò,zuòluò,砟硌,,形容山石不齐的样子,
5659,哕,huì,huìhuì,哕哕,,模拟有节奏的铃声,銮声 哕哕
5677,哓,xiāo,xiāoxiāo,哓哓,,唠叨；吵嚷,哓哓 不休
5740,髑,dú,dúlóu,髑髅,,死人的头骨；也指死人的头,
5791,彳,chì,chìchù,彳亍,,小步慢走；时走时停,独自 彳亍 街头
5851,聱,áo,áoyá,聱牙,,形容读起来不顺口,佶屈 聱牙
5877,狺,yín,yínyín,狺狺,,模拟狗叫的声音,犬吠 狺狺
5892,愀,qiǎo,qiǎorán,愀然,,形容脸色严肃或不愉快的样子,愀然 改容
5942,黾,mǐn,mǐnmiǎn,黾勉,,勤勉；尽力,黾勉 从事
5961,啁,zhāo,zhāozhā,啁哳,,声音碎而杂,语言 啁哳
5961,啁,zhōu,zhōujiū,啁啾,,模拟鸟叫的声音,乳雀 啁啾
5997,蕞,zuì,zuì'ěr,蕞尔,,形容小（多用于地域）,蕞尔 小国
6099,琤,chēng,chēngchēng,琤琤,,模拟玉器碰击声、琴声或水流声,泉水 琤琤
6107,翯,hè,hèhè,翯翯,,形容羽毛洁白而有光泽的样子,白鸟 翯翯
6124,虺,huī,huītuí,虺颓,,形容马疲劳得病的样子,
