hanzi_id,hanzi,frequency_rank,pinyin_id,pinyin,pinyin_sn,hsk_level
3660,鹳,5512,4141,guàn,1,
3661,诳,5547,4142,kuáng,1,
3662,诌,5553,4143,zhōu,1,
3663,缫,5561,4144,sāo,1,
3664,馕,5572,4145,náng,1,
3664,馕,5572,4146,nǎng,2,
3665,滗,5608,4147,bì,1,
3666,戗,5609,4148,qiāng,1,
3666,戗,5609,4149,qiàng,2,
3667,碇,5669,4150,dìng,1,
3668,咝,5688,4151,sī,1,
3669,泅,5711,4152,qiú,1,
3670,掼,5733,4153,guàn,1,
3671,铙,5754,4154,náo,1,
3672,攮,5776,4155,nǎng,1,
3673,嘬,5781,4156,zuō,1,
3673,嘬,5781,4157,chuài,2,
3674,凫,5783,4158,fú,1,
3675,氡,5793,4159,dōng,1,
3676,锔,5854,4160,jū,1,
3676,锔,5854,4161,jú,2,
3677,煺,5871,4162,tuì,1,
3678,籴,5888,4163,dí,1,
3679,皴,5894,4164,cūn,1,
3680,砘,5902,4165,dùn,1,
3681,镫,5944,4166,dèng,1,
3681,镫,5944,4167,dēng,2,
3682,疔,5951,4168,dīng,1,
3683,仡佬族,6013,4169,gē lǎo zú,1,
3684,嗥,6034,4170,háo,1,
3685,礅,6047,4171,dūn,1,
3686,耪,6081,4172,pǎng,1,
3687,醭,6098,4173,bú,1,
3688,绲,6179,4174,gǔn,1,
3689,屙,6189,4175,ē,1,
3690,酽,6316,4176,yàn,1,
3691,劁,6317,4177,qiāo,1,
3692,飕,6336,4178,sōu,1,
3693,埝,6340,4179,niàn,1,
3694,侉,6383,4180,kuǎ,1,
3695,劐,6440,4181,huō,1,
3696,癍,6491,4182,bān,1,
3697,耧,6522,4183,lóu,1,
3698,垧,6618,4184,shǎng,1,
3699,攉,6668,4185,huō,1,
3700,埯,6671,4186,ǎn,1,
3701,搌,6702,4187,zhǎn,1,
3702,骟,6728,4188,shàn,1,
3703,捯,6732,4189,dáo,1,
3704,眍,6772,4190,kōu,1,
