definition_id,pinyin_id,definition_sn,definition_cn,definition_en,definition_img,ref_pinyin_id,pos
605411,60541,1,,,,203421,
628013,62801,3,,,,203431,
675413,67541,3,,,,203441,
700912,70091,2,,,,85982,
708511,70851,1,,,,203451,
712111,71211,1,,,,71171,
731013,73101,3,,,,203461,
769111,76911,1,,,,203471,
796411,79641,1,,,,203481,
1004011,100401,1,,,,203511,
2011211,201121,1,,,,203521,
2011711,201171,1,,,,202141,
2011911,201191,1,,,,203541,
2014611,201461,1,,,,203311,
2015711,201571,1,,,,203561,
2016211,201621,1,,,,203571,
2017311,201731,1,,,,203581,
2017712,201771,2,,,,203591,
2018111,201811,1,,,,203601,
2018211,201821,1,,,,203611,
2018911,201891,1,,,,203621,
2020911,202091,1,,,,203631,
2023512,202351,2,,,,203651,
2028111,202811,1,,,,203661,
2033711,203371,1,,,,203701,
553411,55341,1,,,,204951,
579311,57931,1,,,,204961,
597213,59721,3,,,,204971,
616611,61661,1,,,,56471,
651512,65151,2,,,,205001,
667811,66781,1,,,,205011,
689311,68931,1,,,,205021,
701411,70141,1,,,,205031,
701511,70151,1,,,,205031,
702713,70271,3,,,,205041,
703611,70361,1,,,,205051,
708311,70831,1,,,,204241,
719811,71981,1,,,,205061,
729513,72951,3,,,,205071,
730711,73071,1,,,,13161,
752311,75231,1,,,,4002,
755813,75581,3,,,,205101,
765911,76591,1,,,,205111,
766712,76671,2,,,,205121,
822212,82221,2,,,,205151,
854412,85441,2,,,,69711,
863111,86311,1,,,,205181,
876712,87671,2,,,,205191,
877911,87791,1,,,,62851,
900012,90001,2,,,,205201,
905711,90571,1,,,,63631,
910911,91091,1,,,,205211,
921511,92151,1,,,,73531,
937511,93751,1,,,,93781,
938711,93871,1,,,,6411,
976412,97641,2,,,,205291,
981211,98121,1,,,,205301,
991111,99111,1,,,,205321,
993112,99311,2,,,,205331,
993913,99391,3,,,,205341,
998911,99891,1,,,,56461,
1012112,101211,2,,,,205371,
1018111,101811,1,,,,78541,
1022411,102241,1,,,,205381,
1027411,102741,1,,,,205391,
2013011,201301,1,,,,205401,
2014311,201431,1,,,,69871,
2018711,201871,1,,,,205411,
2021811,202181,1,,,,205421,
2024721,202472,1,,,,206102,
2028811,202881,1,,,,205441,
2031011,203101,1,,,,205451,
2032711,203271,1,,,,35511,
