definition_id,pinyin_id,definition_sn,definition_cn,definition_en,definition_img,ref_pinyin_id,pos
137,13,7,,,,501,
211,21,1,,,,23,
221,22,1,,,,23,
411,41,1,,,,42,
2113,211,3,,,,19761,
2931,293,1,,,,19191,
4924,492,4,,,,10161,
5121,512,1,,,,3782,
5821,582,1,,,,70821,
6331,633,1,,,,201011,
6341,634,1,,,,201021,
7511,751,1,,,,201031,
9014,901,4,,,,201041,
11426,1142,6,,,,54091,
11428,1142,8,,,,201051,
12111,1211,1,,,,51871,
14424,1442,4,,,,34651,
15624,1562,4,,,,3121,
16417,1641,7,,,,50731,
18911,1891,1,,,,201061,
21711,2171,1,,,,201071,
30520,3051,10,,,,31442,
30911,3091,1,,,,201081,
31321,3132,1,,,,29301,
33520,3351,10,,,,37111,
33613,3361,3,,,,201091,
37324,3732,4,,,,9201,
39721,3972,1,,,,3971,
39814,3981,4,,,,201101,
40311,4031,1,,,,32451,
41722,4171,12,,,,201111,
42321,4232,1,,,,201121,
42817,4281,7,,,,47131,
43732,4373,2,,,,14851,
44318,4431,8,,,,9491,
44916,4491,6,,,,8771,
46118,4611,8,,,,25211,
48421,4842,1,,,,4841,
48526,4852,6,,,,9441,
49225,4922,5,,,,5181,
49411,4941,1,,,,201131,
49431,4943,1,,,,4704,
49453,4944,13,,,,201141,
50014,5001,4,,,,23671,
51230,5122,10,,,,96221,
51911,5191,1,,,,32451,
54626,5462,6,,,,36801,
55511,5551,1,,,,13,
56618,5661,8,,,,25292,
59212,5921,2,,,,201151,
59221,5922,1,,,,201162,
59426,5942,6,,,,23791,
60417,6041,7,,,,4071,
62421,6242,1,,,,201171,
69723,6972,3,,,,19021,
70311,7031,1,,,,5462,
70514,7051,4,,,,201181,
72021,7202,1,,,,201191,
72622,7262,2,,,,21971,
72817,7281,7,,,,25321,
72916,7291,6,,,,30881,
73521,7352,1,,,,352,
73531,7353,1,,,,354,
73532,7353,2,,,,354,
75611,7561,1,,,,39561,
80111,8011,1,,,,8011,
80212,8021,2,,,,1212,
81716,8171,6,,,,5071,
82412,8241,2,,,,14271,
83013,8301,3,,,,28291,
84919,8491,9,,,,72481,
86521,8652,1,,,,8651,
87021,8702,1,,,,27321,
90316,9031,6,,,,38861,
91111,9111,1,,,,201201,
95734,9573,4,,,,201211,
96923,9692,3,,,,10631,
98714,9871,4,,,,34021,
102221,10222,1,,,,18061,
102621,10262,1,,,,201221,
104719,10471,9,,,,353,
105433,10543,3,,,,25891,
106516,10651,6,,,,30782,
113323,11332,3,,,,30581,
113721,11372,1,,,,201231,
114611,11461,1,,,,201241,
115814,11581,4,,,,7881,
116925,11692,5,,,,34872,
117211,11721,1,,,,201251,
118212,11821,2,,,,201261,
119111,11911,1,,,,42861,
122412,12241,2,,,,24411,
127815,12781,5,,,,50131,
128012,12801,2,,,,53271,
134623,13462,3,,,,30581,
135732,13573,2,,,,201271,
139118,13911,8,,,,201281,
139311,13931,1,,,,201291,
140212,14021,2,,,,50171,
145311,14531,1,,,,67311,
146116,14611,6,,,,29623,
147213,14721,3,,,,7231,
152111,15211,1,,,,23231,
152221,15222,1,,,,201301,
152222,15222,2,,,,201311,
157611,15761,1,,,,45071,
159111,15911,1,,,,201321,
161021,16102,1,,,,201331,
163516,16351,6,,,,9991,
164215,16421,5,,,,1551,
164321,16432,1,,,,25461,
166321,16632,1,,,,201341,
166728,16672,8,,,,201351,
166911,16691,1,,,,201361,
168422,16842,2,,,,23221,
168423,16842,3,,,,23221,
170621,17062,1,,,,201371,
172112,17211,2,,,,22961,
173013,17301,3,,,,201381,
174011,17401,1,,,,201401,
174035,17403,5,,,,10951,
175811,17581,1,,,,201411,
176211,17621,1,,,,201421,
177311,17731,1,,,,201431,
179714,17971,4,,,,53441,
181314,18131,4,,,,9561,
183112,18311,2,,,,41401,
183122,18312,2,,,,9171,
183623,18362,3,,,,32981,
186421,18642,1,,,,201441,
187211,18721,3,,,,79961,
187713,18771,3,,,,4291,
189711,18971,1,,,,201451,
189914,18991,4,,,,11121,
191712,19171,2,,,,29351,
193811,19381,1,,,,201461,
196011,19601,1,,,,5731,
198422,19842,2,,,,27331,
199321,19932,1,,,,201471,
205511,20551,1,,,,201481,
205913,20591,3,,,,47831,
206012,20601,2,,,,5373,
206511,20651,1,,,,11441,
207313,20731,3,,,,8021,
208811,20881,1,,,,201491,
211314,21131,4,,,,34561,
212724,21272,4,,,,21291,
213421,21342,1,,,,201501,
215114,21511,4,,,,5601,
215611,21561,1,,,,201511,
216012,21601,2,,,,20422,
216715,21671,5,,,,201521,
221316,22131,6,,,,38971,
222111,22211,1,,,,5991,
223011,22301,1,,,,8362,
224516,22451,6,,,,45431,
225922,22592,2,,,,201541,
226812,22681,2,,,,51131,
232412,23241,2,,,,161,
237111,23711,1,,,,201551,
239111,23911,1,,,,4801,
242711,24271,1,,,,41971,
243318,24331,8,,,,49921,
243319,24331,9,,,,49361,
244011,24401,1,,,,200172,
246011,24601,1,,,,102051,
248211,24821,1,,,,201571,
248231,24823,1,,,,201581,
249311,24931,1,,,,5781,
250511,25051,1,,,,28112,
251116,25111,6,,,,40982,
252321,25232,1,,,,201601,
255621,25562,1,,,,201611,
255811,25581,1,,,,201621,
256511,25651,1,,,,28551,
259113,25911,3,,,,201631,
259341,25934,1,,,,201641,
260315,26031,5,,,,7922,
260912,26091,2,,,,28291,
264511,26451,1,,,,65821,
265521,26552,1,,,,99891,
269211,26921,1,,,,34351,
269212,26921,2,,,,34161,
270111,27011,1,,,,201651,
270211,27021,1,,,,12341,
270911,27091,1,,,,201661,
271913,27191,3,,,,8891,
272013,27201,3,,,,9501,
272721,27272,1,,,,201671,
273411,27341,1,,,,20991,
273412,27341,2,,,,201681,
274011,27401,1,,,,7071,
274821,27482,1,,,,201691,
276111,27611,1,,,,201701,
276611,27661,1,,,,57131,
278011,27801,1,,,,10321,
278712,27871,2,,,,201711,
281111,28111,1,,,,201721,
282112,28211,2,,,,201731,
285911,28591,1,,,,200167,
286412,28641,2,,,,201741,
289612,28961,2,,,,201751,
291412,29141,2,,,,23071,
291812,29181,2,,,,201181,
293511,29351,1,,,,90971,
293921,29392,1,,,,201771,
294812,29481,2,,,,48661,
297511,29751,1,,,,201781,
297611,29761,1,,,,40611,
299822,29982,2,,,,54052,
301721,30172,1,,,,19901,
305211,30521,1,,,,87051,
306011,30601,1,,,,15121,
306012,30601,2,,,,201801,
306211,30621,1,,,,201811,
307111,30711,1,,,,201821,
307121,30712,1,,,,200214,
307521,30752,1,,,,22061,
307811,30781,1,,,,201831,
307822,30782,2,,,,10651,
308211,30821,1,,,,201841,
308311,30831,1,,,,201851,
308721,30872,1,,,,201861,
309212,30921,2,,,,201871,
309513,30951,3,,,,46731,
311811,31181,1,,,,201881,
314411,31441,1,,,,201891,
314811,31481,1,,,,201901,
315711,31571,1,,,,201911,
316411,31641,1,,,,201921,
317621,31762,1,,,,201931,
318911,31891,1,,,,201941,
320411,32041,1,,,,201951,
322611,32261,1,,,,201961,
325311,32531,1,,,,20961,
326211,32621,1,,,,28701,
326412,32641,2,,,,6111,
326721,32672,1,,,,54671,
329011,32901,1,,,,96261,
329211,32921,1,,,,90311,
329912,32991,2,,,,39042,
330511,33051,1,,,,200178,
331211,33121,1,,,,201971,
331311,33131,1,,,,201981,
333211,33321,1,,,,201991,
334611,33461,1,,,,202001,
337011,33701,1,,,,201611,
337711,33771,1,,,,202021,
337811,33781,1,,,,18602,
338811,33881,1,,,,202031,
341411,34141,1,,,,202041,
342411,34241,1,,,,82381,
342611,34261,1,,,,202051,
343211,34321,1,,,,32931,
343311,34331,1,,,,202061,
345911,34591,1,,,,202071,
348511,34851,1,,,,96251,
348711,34872,2,,,,16001,
351612,35161,2,,,,13971,
352121,35212,1,,,,14732,
352611,35261,1,,,,3631,
354611,35461,1,,,,202081,
355621,35562,1,,,,202091,
356314,35631,4,,,,14431,
357812,35781,2,,,,23061,
358211,35821,1,,,,202101,
358314,35831,4,,,,202112,
359211,35921,1,,,,85701,
362811,36281,1,,,,202121,
362822,36282,2,,,,18211,
364011,36401,1,,,,202131,
365412,36541,2,,,,32591,
365421,36542,1,,,,202141,
366411,36641,1,,,,49551,
366412,36641,2,,,,202151,
366511,36651,1,,,,202161,
370921,37092,1,,,,202172,
373811,37381,1,,,,21441,
373812,37381,2,,,,21991,
378521,37852,1,,,,202181,
379911,37991,1,,,,202191,
382512,38251,2,,,,29862,
383711,38371,1,,,,202201,
384111,38411,1,,,,202211,
385311,38531,1,,,,13462,
386111,38611,1,,,,202221,
387111,38711,1,,,,202231,
387312,38731,2,,,,661,
387412,38741,2,,,,38311,
387711,38771,1,,,,202241,
389211,38921,1,,,,202251,
389212,38921,2,,,,202261,
390911,39091,1,,,,90841,
391411,39141,1,,,,202271,
391611,39161,1,,,,202281,
392311,39231,1,,,,202291,
393111,39311,1,,,,202301,
394511,39451,1,,,,202311,
395312,39531,2,,,,202321,
395411,39541,1,,,,39201,
396811,39681,1,,,,202331,
397021,39702,1,,,,202341,
397031,39703,1,,,,202351,
398711,39871,1,,,,202361,
402911,40291,1,,,,202371,
403111,40311,1,,,,202381,
403211,40321,1,,,,69411,
403911,40391,1,,,,34271,
405211,40521,1,,,,202391,
408811,40881,1,,,,202401,
409322,40932,2,,,,9131,
410011,41001,1,,,,202411,
410611,41061,1,,,,202421,
411011,41101,1,,,,202431,
411612,41161,2,,,,23221,
412511,41251,1,,,,5291,
413411,41341,1,,,,202441,
414911,41491,1,,,,42881,
416111,41611,1,,,,202451,
418311,41831,1,,,,202461,
419221,41922,1,,,,202471,
421921,42192,1,,,,202481,
422411,42241,1,,,,202491,
424613,42461,3,,,,19521,
425411,42541,1,,,,202501,
426411,42641,1,,,,202511,
427811,42781,1,,,,202521,
428021,42802,1,,,,202531,
430111,43011,1,,,,202541,
431611,43161,1,,,,202551,
432311,43231,1,,,,202561,
433121,43312,1,,,,202571,
434211,43421,1,,,,202581,
434311,43431,1,,,,28981,
435311,43531,1,,,,23311,
436122,43612,2,,,,7781,
437112,43711,2,,,,202591,
437411,43741,1,,,,202601,
438721,43872,1,,,,15871,
439421,43942,1,,,,202611,
440111,44011,1,,,,51691,
441312,44131,2,,,,36051,
442611,44261,1,,,,202621,
445211,44521,1,,,,202631,
446211,44621,1,,,,202641,
450211,45021,1,,,,202651,
450611,45061,1,,,,202661,
450621,45062,1,,,,202671,
450811,45081,1,,,,202681,
451712,45171,2,,,,9491,
452011,45201,1,,,,23311,
453611,45361,1,,,,202691,
455911,45591,1,,,,202701,
456312,45631,2,,,,24342,
457413,45741,3,,,,34081,
457511,45751,1,,,,202711,
458412,45841,2,,,,45261,
459011,45901,1,,,,202721,
459812,45981,2,,,,4911,
460111,46011,1,,,,202731,
460211,46021,1,,,,202741,
460611,46061,1,,,,202751,
461312,46131,2,,,,19131,
461511,46151,1,,,,10493,
462211,46221,1,,,,17671,
463911,46391,1,,,,202762,
463931,46393,1,,,,202761,
464411,46441,1,,,,17811,
464711,46471,1,,,,202781,
465411,46541,1,,,,12861,
468811,46881,1,,,,202791,
469611,46961,1,,,,202801,
470911,47091,1,,,,42551,
471211,47121,1,,,,202811,
471711,47171,1,,,,202821,
472211,47221,1,,,,202831,
472212,47221,2,,,,202841,
474911,47491,1,,,,202851,
475612,47561,2,,,,52841,
476421,47642,1,,,,202861,
478611,47861,1,,,,30341,
479011,47901,1,,,,202871,
479511,47951,1,,,,202881,
480711,48071,1,,,,202891,
481411,48141,1,,,,36831,
482311,48231,1,,,,202901,
482511,48251,1,,,,202911,
483811,48381,1,,,,202921,
485311,48531,1,,,,202931,
486011,48601,1,,,,202941,
486411,48641,1,,,,202951,
486911,48691,1,,,,202961,
