definition_id,example_sn,example_cn,example_en,example_img
111,1,目的,purpose; goal,
111,2,无的放矢,shoot an arrow without aiming at a target,
111,3,众矢之的。,target of public criticism,
121,1,的当,proper; appropriate; suitable,
121,2,的是高手。,truly a master,
131,1,铁的纪律,iron discipline,
131,2,幸福的生活。,happy life,
131,3,定语和中心词之间是领属关系,[when the attribute indicates possession],
131,4,我的母亲,my mother,
131,5,无产阶级的党。,the proletarian party,
131,6,"定语是人名或人称代词,中心词是表示职务或身份的名词,意思是这个人担任这个职务或取得这个身份","[when the attribute is a personal pronoun or name, and the modified noun indicates role or position]",
131,7,今天开会是你的主席,"At today's meeting, you are the chairman.",
131,8,谁的介绍人?,Who played matchmaker for you?,
131,9,"定语是指人的名词或人称代词,中心词和前边的动词合起来表示一种动作,意思是这个人是所说的动作的受事","[when the attribute is a personal pronoun or noun standing for a person, and the modified noun indicates the action received by the former]",
131,10,开他的玩笑,play a joke on him,
131,11,找我的麻烦。,make trouble for me,
132,1,"这是我的,那才是你的",This is mine and that is yours.,
132,2,"菊花开了,有红的,有黄的。","Chrysanthemums are blooming, some red and others yellow.",
132,3,指某一种人或物,[indicate a class or category of people or things],
132,4,男的,male,
132,5,送报的,postman; messenger,
132,6,我爱吃辣的。,I love spicy hot food.,
132,7,表示某种情况,[emphasize what precedes it],
132,8,"大星期天的,你怎么不出去玩ㄦ玩ㄦ?","Today is Sunday, so why don't you go out and enjoy yourself?",
132,9,"无缘无故的,你着什么急?","It has nothing to do with you, so why worry about it?",
132,10,"用跟主语相同的人称代词加‘的’字做宾语, 表示别的事跟这个人无关或这事ㄦ跟别人无关",[indicate that there is no connection between a person and a matter or between the matter and other people],
132,11,"这里用不着你,你只管睡你的去。",You have no business here. Just go to sleep.,
132,12,"推的推,拉的拉","[used between identical verbs, adjectives, etc., to constitute a sequence of contrasts]",
132,13,"说的说,笑的笑",Some push while others pull.,
132,14,"大的大,小的小。",Some talk while others laugh.,
133,1,谁买的书?,Who bought the book?,
133,2,他是昨天进的城,He went to town yesterday.,
133,3,我是在车站打的票。,I bought the ticket at the station.,
133,4,[注意]NOTE:这个用法限于过去的事情。,This usage is restricted only to things that happened in the past.,
134,1,这件事ㄦ我知道的。,"True, I know about this matter.",
135,1,"破铜烂铁的,他捡来一大筐",He picked up a basketful of scrap iron and stuff.,
135,2,"老乡们沏茶倒水的,待我们很亲热。","The villagers made tea and served hot drinks, treating us warmly.",
136,1,"这间屋子是五米的三米,合十五平方米。","This room is five metres by three metres, which makes fifteen square metres.",
232,1,一视同仁,treat equally without discrimination,
232,2,咱们是一家人,We are of the same family.,
232,3,你们一路走,You are going the same way.,
232,4,这不是一码事。,They are not the same thing.,
233,1,番茄一名西红柿。,‘Fanqie’ (tomato) is also called ‘xihongshi’ in Chinese.,
234,1,一冬,the whole winter; all winter; throughout the winter,
234,2,一生,all one's life,
234,3,一路平安,have a good journey; bon voyage,
234,4,一屋子人,a roomful of people,
234,5,一身的汗。,soaked with sweat,
235,1,一心一意。,single-minded; concentrated,
236,1,歇一歇,have a rest,
236,2,笑一笑,give a smile,
236,3,让我闻一闻。,Let me smell it.,
236,4,笑一声,[used between a verb and a verbal measure],
236,5,看一眼,give a laugh,
236,6,让我们商量一下。,take a look,
237,1,一跳跳了过去,get over in one jump,
237,2,一脚把它踢开,move it away with one kick,
237,3,"他在旁边一站,再也不说什么。","He stood by the side, and did not say any more.",
238,1,一失足成千古恨。,A single slip can cause a lasting sorrow.,
239,1,一何速也,How fast it is!,
239,2,"为害之甚,一至于此!",To think that it has caused such serious harm!,
239,3,"[注意]NOTE:‘一’字单用或在一词一句末尾念阴平,如‘十一、一一得一’,在去声字前念阳平,如‘一半、一共’,在阴平、阳平、上声字前念去声,如‘一天、一年、一点’。本词典为简便起见,条目中的‘一’字,都注阴平。","When used alone, or used at the end of a word or sentence, 一is pronounced with the first tone, e.g. 十一 shíyī and 一一得一 yī yī dé yī; when used before a character with a falling tone, 一 is pronounced with the second tone, e.g. 一半 yíbàn and 一共 yígòng; when used before a character with the first, second or third tone, it is pronounced with the fourth tone, e.g. 一天 yìtiān, 一年 yìnián, and 一点 yìdiǎn; for convenience, 一 in all the entries is marked with the first tone.",
311,1,一无是处,Nothing is right.,
311,2,自以为是,consider oneself always in the right; be self-opinionated,
311,3,实事求是,seek the truth from facts,
311,4,你说得是,You are right to put it that way.,
311,5,应当早做准备才是。,Being prepared ahead of time is the right and proper thing to do.,
312,1,是古非今,praise the past and denounce the present,
312,2,深是其言。,be convinced that the word is correct,
313,1,"是,我知道",Yes. I see.,
313,2,"是,我就去。",Yes. I'll go right away.,
315,1,如是,like this,
315,2,由是可知,from this you can see,
315,3,"是可忍,孰不可忍?","If this can be endured, what could not be?",
315,4,是日天气晴朗。,It was sunny that day.,
316,1,《阿Q正传》的作者是鲁迅,The author of The True Story of Ah Q is Lu Xun.,
316,2,节约是不浪费的意思。,To be thrifty means not to waste anything.,
317,1,这张桌子是石头的,The table is made of stone.,
317,2,才买来的墨水是红的,The ink just bought is red.,
317,3,我是来看他的。,It is him I came to see.,
318,1,他是一片好心,He is of good intentions.,
318,2,"咱们是好汉一言,快马一鞭",What we have said cannot be unsaid.,
318,3,"院子里是冬天,屋子里是春天。","It was winter outdoors, but spring indoors.",
319,1,村子前面是一片水田,There is an expanse of paddy fields in front of the village.,
319,2,他跑得满身是汗。,He was bathed in sweat from running.,
320,1,"去年是去年,今年是今年,你当年年一个样哪!",What was true last year may not be so this year; don't assume old ways always work!,
320,2,"说是说,做是做,有意见也不能耽误干活ㄦ。","Talking is one thing, doing is another. You can't delay the work just because you have complaints.",
321,1,"诗是好诗,就是长了点","This is a good poem, albeit a little long.",
321,2,"东西旧是旧,可是还能用","Old as it is, it can still be used.",
321,3,"我去是去,可是不在那ㄦ吃饭。","I might go there, but I will not eat.",
322,1,是谁告诉你的?,Who on the earth told you?,
322,2,"是国防战士,日日夜夜保卫着祖国,咱们才能过幸福的日子。","Thanks to the soldiers who keep watch over our national borders day and night, we live a happy life.",
323,1,是有利于群众的事情他都肯干。,He is ready to do anything that is good for the people.,
324,1,他想的很是路,His thinking is correct.,
324,2,这场雨下的是时候,That fall of rain came just at the right time.,
324,3,东西放的都挺是地方。,Things are in their proper places.,
325,1,你是吃米饭是吃面?,"What do you prefer to eat, rice or noodles?",
325,2,他不是走了吗?,Has he not gone?,
325,3,你是累了不是?,Are you tired?,
326,1,"我打听清楚了,他那天是没去","On specifically enquiring, I found out that he did not go yesterday.",
326,2,"这本书是好,你可以看看。",This book is really good; you may read it.,
421,1,不去,not go,
421,2,不能,cannot,
421,3,不多,not many (much),
421,4,不经济,uneconomic,
421,5,不很好。,not very good (well),
422,1,不法,lawless; illegal; unlawful,
422,2,不规则。,irregular,
423,1,"他知道吗?——不,他不知道。","Does he know? No, he doesn't.",
424,1,他现在身体好不?,Is he in good health now?,
425,1,拿不动,find sth. too heavy to carry,
425,2,做不好,cannot do sth. well,
425,3,装不下。,cannot hold sth.,
426,1,"什么累不累的,有工作就得做","No matter how tired you are, you must do what comes to you.",
426,2,"什么钱不钱的,你喜欢就拿去。",Who cares how much it costs? Just take it if you like it.,
427,1,"晚上他不是看书,就是写文章。",In the evening he either reads books or writes articles.,
428,1,不谢,don't mention it; not at all; you are welcome,
428,2,不送,Forgive me for not seeing you out.,
428,3,不客气。,don't mention it; not at all; you are welcome,
428,4,"[注意]NOTE:在去声字前面,‘不’字读阳平声,如‘不会’、‘不是’。","said in rising tone when followed by words with falling tone, e.g.不会 (can-not), or不是 (not)",
428,5,"动词‘有’的否定式是‘没有’,不是‘不有’。",negative form of the verb 有(have) is 没有(have not) ratherthan 不有(not have),
511,1,这个小组受到了表扬,This group has been commended.,
511,2,水位已经低了两米。,The water level has dropped by two metres.,
511,3,用于预期的或假设的动作,[used for an anticipated or presupposed action],
511,4,"你先去,我下了班就去","You'll go first, and I'll go there after work.",
511,5,"他要知道了这个消息,一定也很高兴。",He will also be very happy if he hears this news.,
512,1,下雨了,It's raining.,
512,2,"春天了,桃花都开了","It's spring, and the peach trees are all in bloom.",
512,3,他吃了饭了,He has had his meal.,
512,4,"天快黑了,今天去不成了。","It's getting dark, and we can't go there today.",
512,5,表示在某种条件之下出现某种情况,[indicating a certain situation under certain conditions],
512,6,"天一下雨,我就不出门了",I won't go out once it rains.,
512,7,你早来一天就见着他了。,You would have seen him if you had come one day earlier.,
512,8,表示认识、想法、主张、行动等有变化,"[indicating a change in one's understanding, idea, view or action]",
512,9,我现在明白他的意思了,I have now understood what he meant.,
512,10,"他本来不想去,后来还是去了。","He didn't want to go at first, but he went later.",
512,11,表示催促或劝止,[indicating a request or a command],
512,12,"走了,走了,不能再等了!",Let's go. We can't wait any longer.,
512,13,"好了,不要老说这些事了!",Stop. Don't keep talking of these things!,
521,1,了结,finish; end; settle; wind up; bring to an end,
521,2,了账,bring to an end; settle or square accounts,
521,3,没完没了,endless; ceaseless; without stop; nonstop,
521,4,一了百了,All troubles end when the main trouble ends.,
521,5,不了了之,unresolved; leave unsettled; end up by doing nothing; end up with nothing definite,
521,6,这事ㄦ已经了啦!,This matter has been settled.,
522,1,办得了,can be done,
522,2,做得了,can be made,
522,3,来不了,unable to come,
522,4,受不了。,cannot stand or bear,
523,1,了不相涉,totally or completely unrelated or irrelevant,
523,2,了无惧色,show no trace of fear; show no fear at all; look completely undaunted,
523,3,了无进展。,make little progress,
524,1,了然,understand; be clear,
524,2,了解,understand; know; comprehend,
524,3,明了,understand; know clearly,
524,4,了如指掌。,familiar with; know sth. like the palm or back of one's hand; as plain as pointing to one's hand; be thoroughly familiar (with sth.),
611,1,精神永在,The spirit lives on.,
611,2,"留得青山在,不怕没柴烧","As long as green mountains exist, there will be no shortage of firewood. or While there is life, there is hope.",
611,3,父母都在。,Both his parents are still around.,
612,1,我今天晚上不在厂里,I won't be in the factory tonight.,
612,2,你的钢笔在桌子上呢。,"Look, your pen is on the desk.",
613,1,在职,on the regular payroll,
613,2,在位。,be on the throne,
614,1,在党,be a member of a party,
614,2,在组织。,be a member of an organization,
615,1,事在人为,Human effort is the decisive factor.,
615,2,"学习好,主要在自己努力。",Getting good results in one's studies lies mainly in hard work.,
616,1,在所不辞,will not decline under all circumstances,
616,2,在所不惜,regardless of cost or sacrifice,
616,3,在所不计,regardless of the risk; whatever the cost,
616,4,在所难免。,be unavoidable; can hardly avoid,
617,1,事情发生在去年,It happened last year.,
617,2,在礼堂开会,hold a meeting in the auditorium,
617,3,这件事在方式上还可以研究。,How to deal with this matter is open to discussion.,
618,1,"风在刮,雨在下",The wind is howling; the rain is falling.,
618,2,姐姐在做功课。,Elder Sister is doing her homework.,
711,1,三十有八年。,38 years,
721,1,我有《鲁迅全集》,I have the Collected Works of Lu Xun.,
