definition_id,example_sn,example_cn,example_en,example_img
554011,2,also对不住,duì·bu zhù,
560911,5,"用在名词前面,问人或事物",[used before a noun to ask who or what],
560913,3,"两个‘什么’前后照应,表示由前者决定后者",[used one 什么 after another 什么 to indicate that the former determines the latter],
567813,3,"[注意]NOTE:某人或某些人跟‘大家’对举的时候,这人或这些人不在‘大家’的范围之内,如","When sb. or some people are talking to others, they are not included in ‘everyone’. Example",
575411,2,"用在上半句主语和谓语之间,提出需要说明原因的事情,下半句说明原因","[used between the subject and the predicate of a clause of result, followed by a clause of reason or cause introduced by 是因为shì yīn·wèi or 是由于shì yóuyú]",
575411,4,"上半句先说明原因,下半句用‘是…所以…的原因(缘故)’",[used in the pattern 是 shì… 所以 suǒyǐ… 的原因·de yuányīn (缘故 yuángù) preceded by a clause of reason or cause] ... is the reason; is why ...,
575411,6,"‘所以’单独成句,表示‘原因就在这里’",[used as an independent unit] precisely; that is exactly the point,
582612,2,[注意]NOTE:‘必须’的否定是‘无须’、‘不须’或‘不必’。,The negative of ‘must; have to; necessary’ is ‘not have to; not be necessary; need not’ or ‘unnecessary’.,
587013,2,"[注意]NOTE:‘多么’的用法基本上跟‘多’相同,‘多么’用于感叹句为主,其他用法不如‘多’普通。","Usage of 多么 is akin to多2duō. 多么 is usu. used in exclamations, otherwise it is less commonly used than 多2.",
589512,3,"[注意]NOTE:表示关涉,用‘关于’不用‘对于’,如关于织女星,民间有个美丽的传说。","when indicating ‘related to’ or ‘relating to’, use 关于 instead of 对于 duìyú, e.g. There is a beautiful legend about the Vega.",
591412,3,also几几乎,jījīhū,
601411,3,"[注意]NOTE:文言里‘虽然’承接上文,稍微停顿,等于白话‘虽然如此’的意思。","In classical Chinese, 虽然 is used to continue the preceding paragraph, meaning ‘even so.’",
603311,4,"[注意]NOTE:表示原因,一般用‘因为’不用‘为了’。","to indicate a reason, usu. use 因为 yīn·wèi instead of 为了 wèi·le",
603411,3,"[注意]NOTE:‘为什么不’常含有劝告的意思,跟‘何不’相同,如这种技术很有用处,你为什么不学一学?","为什么不 wèi shén·me bù implies an advice. It's the same as 何不 hébù. e.g. This kind of skill is very useful, why don't you learn it?",
606713,2,连用,[used consecutively],
627011,2,[注意]NOTE:‘后来’跟‘以后’的分别。,Pay attention to the difference between 后来 hòulái and 以后 yǐhòu,
628511,3,"[注意]NOTE:‘即使’所表示的条件,可以是尚未实现的事情,也可以是与既成事实相反的事情。",The condition indicated by this conjunction may be either sth. that has not happened or sth. that is opposite to the actual situation.,
631711,5,"[注意]NOTE:‘进行’总是用在持续性的和正式、严肃的行为,短暂性的和日常生活中的行为不用‘进行’,例如不说‘进行午睡’,‘进行叫喊’。","The phrase 进行 is always used to describe ongoing formal and serious actions, not short-term or everyday activities, e.g. one doesn't say 进行午睡 jìnxíng wǔshuì and 进行叫喊 jìnxíng jiàohǎn.",
632912,3,[注意]NOTE:是非问句(如‘你答应吗?’)里不用‘究竟’。,"It should not be used in a simple question as ‘Do you agree?’ which calls for, instead of pressing for, an answer.",
636311,5,also利害,lì·hɑi,
637911,3,also马糊,mǎ·hu,
639011,3,also难道说,nándàoshuō,
639011,4,[注意]NOTE:句末可以用‘不成’呼应,The word 难道 nándào may be echoed at the end of a sentence with the rhetorical word 不成 bùchéng,
641713,2,see【成气候】,chéng qìhòu,
645811,2,also甚至于,shènzhìyú,
648711,2,also数目字,shùmùzì,
648712,2,also数目字,shùmùzì,
648713,2,also数目字,shùmùzì,
660911,2,also于是乎,yúshìhū,
662311,3,"[注意]NOTE:包括谈话的对方用‘咱们’,不包括谈话的对方用‘我们’,如我们明天参加义务劳动,你要是没事,咱们一块ㄦ去。不过说‘我们’也可以包括谈话的对方。","咱们 is used to include both the speaker and the person or persons spoken to, while 我们 wǒ·men may refer to the speaker alone or together with the person or persons spoken to, e.g. We're going to take part in the obligatory labour tomorrow. If you're free, let's go together.",
666813,2,also子细,zǐxì,
672412,2,also标识,biāozhì,
675511,3,also参预,cānyù,
677911,3,also澈底,chèdǐ,
678912,3,also成份,chéng·fèn,
687111,2,also倒楣,dǎo∥méi,
711714,3,also纪录,jìlù,
712313,2,also记念,jìniàn,
712711,3,also佳宾,jiābīn,
733411,3,also摹仿,mófǎng,
733512,2,also模胡,mó·hu,
735311,3,"[注意]NOTE:如果舍弃的一面不明显或无须说出,可以单说选取的一面(常常加‘的好",·dehǎo,
739115,1,维生素C因受热而破坏。,Vitamin C is destroyed when heated.,
743411,3,also取销,qǔxiāo,
745012,3,also人材,réncái,
746611,3,"[注意]NOTE:‘现在’可以指较长的一段时间,也可以指极短的时间,‘如今’只能指较长的一段时间。","现在 xiànzài may refer to a period of time long or short, whereas 如今 denotes a long period of time.",
747911,2,扇(shān)扇子。,wave a fan in one's hand,
761311,2,also土地爷,tǔ·diyé,
775812,2,also要不然,yàobùrán,
776612,2,"用于未然,表示‘要是有一天’",[used for one day in the future] some day; once,
781811,2,also原故,yuángù,
801311,2,also暴光,bào∥guāng,
801312,2,also暴光,bào∥guāng,
806711,2,also辨证,biànzhèng,
812711,3,also裁判员,cáipànyuán,
812712,3,also裁判员,cáipànyuán,
