pinyin_id,hanzi,pinyin,hsk_level,frequency_rank,pinyin_sn
13,的,de,1,1,1
11,的,dì,1,1,2
12,的,dí,1,1,3
23,一,yī,1,2,1
21,一,yí,1,2,2
22,一,yì,1,2,3
56281,我们,wǒ men,1,3,1
31,是,shì,1,4,1
42,不,bù,1,5,1
41,不,bú,1,5,2
55491,工作,gōng zuò,1,6,1
51,了,le,1,7,1
52,了,liǎo,1,7,2
61,在,zài,1,8,1
72,有,yǒu,1,9,1
71,有,yòu,1,9,2
200039,中国,zhōng guó,1,10,1
81,人,rén,1,11,1
91,这,zhè,1,12,1
92,这,zhèi,1,12,2
56091,什么,shén me,1,13,1
102,上,shàng,1,14,1
101,上,shǎng,1,14,2
103,上,shang,1,14,3
112,大,dà,1,15,1
111,大,dài,1,15,2
56341,现在,xiàn zài,1,16,1
121,来,lái,1,17,1
135,和,hé,1,18,1
131,和,hè,1,18,2
132,和,hú,1,18,3
133,和,huó,1,18,4
134,和,huò,1,18,5
141,我,wǒ,1,19,1
152,个,gè,1,20,1
151,个,gě,1,20,2
191,他,tā,1,21,1
55621,今天,jīn tiān,1,22,1
56111,时候,shí hou,1,23,1
56421,学生,xué sheng,1,24,1
56431,学习,xué xí,1,25,1
200032,打电话,dǎ diàn huà,1,26,1
56551,怎么样,zěn me yàng,1,27,1
55401,对不起,duì bu qǐ,1,28,1
200029,北京,běi jīng,1,29,1
200031,出租车,chū zū chē,1,30,1
55801,没关系,méi guān xi,1,31,1
200035,火车站,huǒ chē zhàn,1,32,1
200030,不客气,bù kè qi,1,33,1
302,会,huì,1,34,1
301,会,kuài,1,34,2
56301,喜欢,xǐ huan,1,35,1
56541,怎么,zěn me,1,36,1
381,能,néng,1,37,1
56441,学校,xué xiào,1,38,1
461,下,xià,1,39,1
55371,东西,dōng xi,1,40,1
55372,东西,dōng xī,1,40,2
56011,认识,rèn shi,1,41,1
481,年,nián,1,42,1
513,家,jiā,1,43,1
511,家,jia,1,43,2
512,家,jie,1,43,3
55911,朋友,péng you,1,44,1
532,里,lǐ,1,45,1
531,里,li,1,45,2
56481,医院,yī yuàn,1,46,1
541,多,duō,1,47,1
56611,昨天,zuó tiān,1,48,1
56321,下午,xià wǔ,1,49,1
200033,分钟,fēn zhōng,1,50,1
55421,多少,duō shao,1,51,1
55422,多少,duō shǎo,1,51,2
55821,明天,míng tiān,1,52,1
55361,电影,diàn yǐng,1,53,1
55691,老师,lǎo shī,1,54,1
654,那,nà,1,55,1
651,那,nā,1,55,2
652,那,nèi,1,55,3
653,那,nè,1,55,4
661,小,xiǎo,1,56,1
56061,上午,shàng wǔ,1,57,1
55341,电脑,diàn nǎo,1,58,1
56331,先生,xiān sheng,1,59,1
691,去,qù,1,60,1
55351,电视,diàn shì,1,61,1
711,都,dōu,1,62,1
712,都,dū,1,62,2
55751,妈妈,mā ma,1,63,1
55431,儿子,ér zi,1,64,1
56401,谢谢,xiè xie,1,65,1
56251,同学,tóng xué,1,66,1
56161,睡觉,shuì jiào,1,67,1
56471,医生,yī shēng,1,68,1
55461,飞机,fēi jī,1,69,1
56171,说话,shuō huà,1,70,1
55901,女儿,nǚ ér,1,71,1
55661,看见,kàn jiàn,1,72,1
55471,高兴,gāo xìng,1,73,1
56231,天气,tiān qì,1,74,1
55831,名字,míng zi,1,75,1
831,你,nǐ,1,76,1
842,好,hǎo,1,77,1
841,好,hào,1,77,2
55921,漂亮,piào liang,1,78,1
200028,爸爸,bà ba,1,79,1
55561,后面,hòu mian,1,80,1
56571,中午,zhōng wǔ,1,81,1
200036,前面,qián miàn,1,82,1
55961,前面,qián mian,1,82,2
921,本,běn,1,83,1
56461,衣服,yī fu,1,84,1
55931,苹果,píng guǒ,1,85,1
200038,小姐,xiǎo jie,1,86,1
56371,小姐,xiǎo jiě,1,86,2
56151,水果,shuǐ guǒ,1,87,1
1001,看,kàn,1,88,1
1002,看,kān,1,88,2
56411,星期,xīng qī,1,89,1
56041,商店,shāng diàn,1,90,1
55511,汉语,hàn yǔ,1,91,1
1051,十,shí,1,92,1
1061,开,kāi,1,93,1
1071,些,xiē,1,94,1
200037,下雨,xià yǔ,1,95,1
56531,再见,zài jiàn,1,96,1
56591,桌子,zhuō zi,1,97,1
56491,椅子,yǐ zi,1,98,1
55251,杯子,bēi zi,1,99,1
1121,水,shuǐ,1,100,1
55811,米饭,mǐ fàn,1,101,1
1141,没,méi,1,102,1
1142,没,mò,1,102,2
55451,饭馆,fàn guǎn,1,103,1
1151,想,xiǎng,1,104,1
1171,三,sān,1,105,1
1201,点,diǎn,1,106,1
1351,二,èr,1,107,1
1551,很,hěn,1,108,1
1601,她,tā,1,109,1
1681,日,rì,1,110,1
1961,四,sì,1,111,1
1981,几,jǐ,1,112,1
1982,几,jī,1,112,2
2041,少,shǎo,1,113,1
2042,少,shào,1,113,2
2071,回,huí,1,114,1
2501,做,zuò,1,115,1
2591,五,wǔ,1,116,1
2611,月,yuè,1,117,1
3121,叫,jiào,1,118,1
3231,听,tīng,1,119,1
3292,呢,ne,1,120,1
3291,呢,ní,1,120,2
3331,太,tài,1,121,1
3401,住,zhù,1,122,1
3501,书,shū,1,123,1
3551,热,rè,1,124,1
3971,八,bā,1,125,1
3972,八,bá,1,125,2
4141,九,jiǔ,1,126,1
4171,吃,chī,1,127,1
4391,爱,ài,1,128,1
4411,写,xiě,1,129,1
4412,写,xiè,1,129,2
4482,六,liù,1,130,1
4481,六,lù,1,130,2
4591,字,zì,1,131,1
4841,七,qī,1,132,1
4842,七,qí,1,132,2
4873,吗,ma,1,133,1
4871,吗,má,1,133,2
4872,吗,mǎ,1,133,3
5905,哪,nǎ,1,134,1
5901,哪,né,1,134,2
5902,哪,nǎi,1,134,3
5903,哪,něi,1,134,4
5904,哪,na,1,134,5
6131,请,qǐng,1,135,1
6201,钱,qián,1,136,1
6271,坐,zuò,1,137,1
6611,谁,shéi,1,138,1
6612,谁,shuí,1,138,2
7021,块,kuài,1,139,1
7461,买,mǎi,1,140,1
7511,冷,lěng,1,141,1
7681,岁,suì,1,142,1
7921,读,dú,1,143,1
7922,读,dòu,1,143,2
9581,菜,cài,1,144,1
11281,零,líng,1,145,1
11332,喝,hē,1,146,1
11331,喝,hè,1,146,2
11931,茶,chá,1,147,1
12491,狗,gǒu,1,148,1
16101,猫,māo,1,149,1
16102,猫,máo,1,149,2
17701,喂,wèi,1,150,1
56841,第一,dì yī,2,151,1
57171,可以,kě yǐ,2,152,1
57651,问题,wèn tí,2,153,1
181,为,wèi,2,154,1
182,为,wéi,2,154,2
60971,自己,zì jǐ,3,155,1
212,要,yào,2,156,1
211,要,yāo,2,156,2
