pinyin_id,hanzi,pinyin,hsk_level,frequency_rank,pinyin_sn
56281,我们,wǒ men,1,3,1
55491,工作,gōng zuò,1,6,1
200039,中国,zhōng guó,1,10,1
56091,什么,shén me,1,13,1
56341,现在,xiàn zài,1,16,1
55621,今天,jīn tiān,1,22,1
56111,时候,shí hou,1,23,1
56421,学生,xué sheng,1,24,1
56431,学习,xué xí,1,25,1
200032,打电话,dǎ diàn huà,1,26,1
56551,怎么样,zěn me yàng,1,27,1
55401,对不起,duì bu qǐ,1,28,1
200029,北京,běi jīng,1,29,1
200031,出租车,chū zū chē,1,30,1
55801,没关系,méi guān xi,1,31,1
200035,火车站,huǒ chē zhàn,1,32,1
200030,不客气,bù kè qi,1,33,1
56301,喜欢,xǐ huan,1,35,1
56541,怎么,zěn me,1,36,1
56441,学校,xué xiào,1,38,1
55371,东西,dōng xi,1,40,1
55372,东西,dōng xī,1,40,2
56011,认识,rèn shi,1,41,1
55911,朋友,péng you,1,44,1
56481,医院,yī yuàn,1,46,1
56611,昨天,zuó tiān,1,48,1
56321,下午,xià wǔ,1,49,1
200033,分钟,fēn zhōng,1,50,1
55421,多少,duō shao,1,51,1
55422,多少,duō shǎo,1,51,2
55821,明天,míng tiān,1,52,1
55361,电影,diàn yǐng,1,53,1
55691,老师,lǎo shī,1,54,1
56061,上午,shàng wǔ,1,57,1
55341,电脑,diàn nǎo,1,58,1
56331,先生,xiān sheng,1,59,1
55351,电视,diàn shì,1,61,1
55751,妈妈,mā ma,1,63,1
55431,儿子,ér zi,1,64,1
56401,谢谢,xiè xie,1,65,1
56251,同学,tóng xué,1,66,1
56161,睡觉,shuì jiào,1,67,1
56471,医生,yī shēng,1,68,1
55461,飞机,fēi jī,1,69,1
56171,说话,shuō huà,1,70,1
55901,女儿,nǚ ér,1,71,1
55661,看见,kàn jiàn,1,72,1
55471,高兴,gāo xìng,1,73,1
56231,天气,tiān qì,1,74,1
55831,名字,míng zi,1,75,1
55921,漂亮,piào liang,1,78,1
200028,爸爸,bà ba,1,79,1
55561,后面,hòu mian,1,80,1
56571,中午,zhōng wǔ,1,81,1
200036,前面,qián miàn,1,82,1
55961,前面,qián mian,1,82,2
56461,衣服,yī fu,1,84,1
55931,苹果,píng guǒ,1,85,1
200038,小姐,xiǎo jie,1,86,1
56371,小姐,xiǎo jiě,1,86,2
56151,水果,shuǐ guǒ,1,87,1
56411,星期,xīng qī,1,89,1
56041,商店,shāng diàn,1,90,1
55511,汉语,hàn yǔ,1,91,1
200037,下雨,xià yǔ,1,95,1
56531,再见,zài jiàn,1,96,1
56591,桌子,zhuō zi,1,97,1
56491,椅子,yǐ zi,1,98,1
55251,杯子,bēi zi,1,99,1
55811,米饭,mǐ fàn,1,101,1
55451,饭馆,fàn guǎn,1,103,1
56841,第一,dì yī,2,151,1
57171,可以,kě yǐ,2,152,1
57651,问题,wèn tí,2,153,1
60971,自己,zì jǐ,3,155,1
56941,公司,gōng sī,2,157,1
200048,已经,yǐ jīng,2,158,1
57811,已经,yǐ jing,2,158,2
57491,时间,shí jiān,2,160,1
57851,因为,yīn wèi,2,162,1
57141,开始,kāi shǐ,2,164,1
61981,发展,fā zhǎn,4,166,1
57161,可能,kě néng,2,168,1
56791,但是,dàn shì,2,169,1
56781,大家,dà jiā,2,170,1
76311,万一,wàn yī,5,172,1
200134,唯一,wéi yī,5,173,1
58011,知道,zhī dào,2,174,1
57541,所以,suǒ yǐ,2,175,1
204031,没有,méi yǒu,,176,1
57821,一起,yī qǐ,2,177,1
57671,希望,xī wàng,2,178,1
63171,进行,jìn xíng,4,180,1
56871,非常,fēi cháng,2,182,1
57121,觉得,jué de,2,183,1
57431,去年,qù nián,2,185,1
58001,正在,zhèng zài,2,187,1
56971,孩子,hái zi,2,188,1
57521,手机,shǒu jī,2,190,1
58021,准备,zhǔn bèi,2,192,1
57501,事情,shì qing,2,193,1
57912,运动,yùn dòng,2,194,1
57911,运动,yùn dong,2,194,2
