definition_id,pinyin_id,definition_sn,definition_cn,definition_en,definition_img
4042312,404231,2,(～儿,yīxiēr,
4044111,404411,1,(～儿,yīdòngr,
4044411,404441,1,(～儿,yībànr,
4046111,404611,1,见see【漆黑一团】,qīhēi yī tuán,
4046811,404681,1,(～儿,yīduōbànr,
4047215,404721,5,(～儿,yītóur,
4047217,404721,7,(～儿,yītóur,
4048911,404891,1,(～儿,yī nián dào tóur,
4050211,405021,1,(～儿,yīzǒngr,
4050611,405061,1,(～儿,yīshǒur,
4050612,405061,2,(～儿,yīshǒur,
4051013,405101,3,同same as‘第一把手’,dì yī bǎ shǒu,
4051211,405121,1,〈方dial.〉(～儿,yī bǎ sǐ nár,
4052611,405261,1,(～儿,yīzǎor,
4052911,405291,1,(～儿,yīhuǎngr,
4053211,405321,1,same as一旦,yīdàn,
4054211,405421,1,见see【黄粱梦】,huángliángmèng,
4055111,405511,1,(～儿,yīqìr,
4055611,405561,1,(～儿,yīqīngzǎor,
4055811,405581,1,(～儿,yīliùyānr,
4062212,406221,2,(～儿,yīshēnr,
4062911,406291,1,(～儿,yītòngr,
4063011,406301,1,(～儿,yīdàor,
4063811,406381,1,(～儿,yīzhènr,
4064111,406411,1,见see【举一反三】,jǔ yī fǎn sān,
4064311,406431,1,(～儿,yīmiànr,
4065711,406571,1,同same as‘丁东’,dīngdōng,
4066211,406621,1,同same as‘叮咛’,dīngníng,
4066611,406661,1,〈书fml.〉same as丁忧,dīngyōu,
4067811,406781,1,same as古琴,gǔqín,
4069411,406941,1,same as万世,wànshì,
4077311,407731,1,(～儿,sānxiánr,
4078111,407811,1,见see[舢板],shānbǎn,
4078711,407871,1,见see【比基尼】,bǐjīní,
4080411,408041,1,(～儿,sānhuāliǎnr,
4082511,408251,1,same as上代,shàngdài,
4083111,408311,1,〈书fml.〉same as上身(shàngshēn)①。,,
4083811,408381,1,～儿,shàng∥jìnr,
4084111,408411,1,(～儿,shàngbàntiānr,
4084311,408431,1,〈方dial.〉(～儿,shàngbànshǎngr,
4086811,408681,1,(～儿,shàngjiār,
4087511,408751,1,～儿,shàng suì·shur,
4088711,408871,1,same as正房,zhèngfáng,
4090011,409001,1,(～儿,shàngkuǎnr,
4091012,409101,2,〈方dial.〉(～儿,shàng∥huǒr,
4092411,409241,1,(～儿,shàngliánr,
4094513,409451,3,(～儿,shàngshēnr,
4094811,409481,1,same as祖先,zǔxiān,
4094911,409491,1,same as上辈,shàngbèi,
4095011,409501,1,～儿,shàng·biɑnr,
4096411,409641,1,same as下贱,xiàjiàn,
4097411,409741,1,〈书fml.〉same as下身,xiàshēn,
4098211,409821,1,(～儿,xiàbàntiānr,
4098511,409851,1,same as下午,xiàwǔ,
4099921,409992,1,same as下,xià,
4100311,410031,1,(～儿,xiàjiār,
4101511,410151,1,(～儿,xiàfángr,
4101613,410161,3,same as下家,xiàjiā,
4101614,410161,4,(～儿,xiàshǒur,
4102611,410261,1,(～儿,xiàkuǎnr,
4103211,410321,1,same as下游,xiàyóu,
4103811,410381,1,～儿,xià∥bānr,
4104012,410401,2,same as下凡,xià∥fán,
4105111,410511,1,(～儿,xiàliánr,
4105411,410541,1,～儿,xià∥jiǎor,
4107012,410701,2,(～儿,xiàshēnr,
4107411,410741,1,～儿,xià·biɑnr,
4108911,410891,1,同same as‘下手’(xiàshǒu)①。,,
4109611,410961,1,same as‘不下于’,bùxiàyú,
4113911,411391,1,same as不止,bùzhǐ,
4116411,411641,1,见see【不送气】,bù sòngqì,
4117011,411701,1,见see【既往不咎】,jì wǎng bù jiù,
4122511,412251,1,same as不行,bùxíng,
4123211,412321,1,see不像话,bù xiànghuà,
4125111,412511,1,same as‘没有’,méi·yǒu,
4128911,412891,1,(～儿的,bùjīn bùyóur·de,
4151411,415141,1,同same as‘冬不拉’,dōngbùlā,
4152812,415281,2,same as东,dōng,
4153311,415331,1,见see【正教】,Zhèngjiào,
4154011,415401,1,～儿,dōng·biɑnr,
4155011,415501,1,见see【一鳞半爪】,yī lín bàn zhǎo,
4155412,415541,2,(～儿,sīxiánr,
4156511,415651,1,〈方dial.〉(～儿,diū∥fènr,
