hanzi_id,pinyin_id,hanzi,pinyin,status
10438,404381,一刹那,yī chà nà,multiple_valid
10471,404711,一失足成千古恨,yī shī zú chéng qiān gǔ hèn,multiple_valid
10703,407031,万古长青,wàn gǔ cháng qīng,multiple_valid
10711,407111,万恶,wàn è,multiple_valid
10745,407451,三个代表,sān gè dài biǎo,multiple_valid
10768,407681,三姑六婆,sān gū liù pó,multiple_valid
10786,407861,三灾八难,sān zāi bā nàn,multiple_valid
10795,407951,三纲五常,sān gāng wǔ cháng,multiple_valid
10811,408111,三角恋爱,sān jiǎo liàn ài,multiple_valid
10820,408201,三顾茅庐,sān gù máo lú,multiple_valid
10961,409611,上颚,shàng è,multiple_valid
10998,409981,下奶,xià nǎi,multiple_valid
11255,412551,不期而遇,bù qī ér yù,multiple_valid
11295,412951,不管三七二十一,bù guǎn sān qī èr shí yī,multiple_valid
11427,414271,专案,zhuān àn,multiple_valid
11589,415891,两岸,liǎng àn,multiple_valid
11651,416511,丧偶,sàng ǒu,multiple_valid
11841,418411,串案,chuàn àn,multiple_valid
11945,419451,主心骨,zhǔ xīn gǔ,multiple_valid
11967,419671,主脑,zhǔ nǎo,multiple_valid
12005,420051,举案齐眉,jǔ àn qí méi,multiple_valid
12051,420511,义无反顾,yì wú fǎn gù,multiple_valid
12184,421841,乞哀告怜,qǐ āi gào lián,multiple_valid
12314,423141,乱坟岗,luàn fén gǎng,multiple_valid
12613,426131,亘古,gèn gǔ,multiple_valid
12798,427981,亲故,qīn gù,multiple_valid
12877,428771,人格化,rén gé huà,multiple_valid
12878,428781,人格权,rén gé quán,multiple_valid
12953,429531,仁爱,rén ài,multiple_valid
13086,430861,仙姑,xiān gū,multiple_valid
13128,431281,令嫒,lìng ài,multiple_valid
13130,431301,令爱,lìng ài,multiple_valid
13140,431401,以内,yǐ nèi,multiple_valid
13151,431511,以讹传讹,yǐ é chuán é,multiple_valid
13418,434181,传告,chuán gào,multiple_valid
13433,434331,传感器,chuán gǎn qì,multiple_valid
13827,438271,佳偶,jiā ǒu,multiple_valid
14197,441971,信鸽,xìn gē,multiple_valid
15038,450381,入主出奴,rù zhǔ chū nú,multiple_valid
15148,451481,八一南昌起义,bā yī nán chāng qǐ yì,multiple_valid
15353,453531,关爱,guān ài,multiple_valid
15354,453541,关碍,guān ài,multiple_valid
15366,453661,关隘,guān ài,multiple_valid
15439,454391,具体而微,jù tǐ ér wēi,multiple_valid
15492,454921,兼顾,jiān gù,multiple_valid
15768,457681,冠盖,guān gài,multiple_valid
15787,457871,冥暗,míng àn,multiple_valid
16105,461051,凑热闹,còu rè nao,multiple_valid
16328,463281,出纳,chū nà,multiple_valid
16385,463851,函告,hán gào,multiple_valid
16392,463921,函购,hán gòu,multiple_valid
16430,464301,分割,fēn gē,multiple_valid
16509,465091,分隔,fēn gé,multiple_valid
16702,467021,删改,shān gǎi,multiple_valid
16970,469701,前额,qián é,multiple_valid
16974,469741,剑拔弩张,jiàn bá nǔ zhāng,multiple_valid
17155,471551,办案,bàn àn,multiple_valid
17156,471561,办稿,bàn gǎo,multiple_valid
17387,473871,勉为其难,miǎn wéi qí nán,multiple_valid
17548,475481,化干戈为玉帛,huà gān gē wéi yù bó,multiple_valid
17685,476851,千古,qiān gǔ,multiple_valid
17703,477031,千里鹅毛,qiān lǐ é máo,multiple_valid
17756,477561,半夜三更,bàn yè sān gēng,multiple_valid
17802,478021,华南,huá nán,multiple_valid
17823,478231,华达呢,huá dá ní,multiple_valid
17882,478821,单干,dān gàn,multiple_valid
17891,478911,单杠,dān gàng,multiple_valid
17975,479751,南欧,nán ōu,multiple_valid
18102,481021,印第安人,yìn dì ān rén,multiple_valid
18206,482061,厄难,è nàn,multiple_valid
18423,484231,参股,cān gǔ,multiple_valid
18496,484961,双重人格,shuāng chóng rén gé,multiple_valid
18514,485141,反厄尔尼诺现象,fǎn è ěr ní nuò xiàn xiàng,multiple_valid
18531,485311,反戈,fǎn gē,multiple_valid
18573,485731,反革命,fǎn gé mìng,multiple_valid
18605,486051,发怒,fā nù,multiple_valid
18692,486921,发难,fā nàn,multiple_valid
18721,487211,取而代之,qǔ ér dài zhī,multiple_valid
18728,487281,取闹,qǔ nào,multiple_valid
18938,489381,古奥,gǔ ào,multiple_valid
18976,489761,另案,lìng àn,multiple_valid
19078,490781,可逆反应,kě nì fǎn yìng,multiple_valid
19265,492651,吃闭门羹,chī bì mén gēng,multiple_valid
19477,494771,名垂千古,míng chuí qiān gǔ,multiple_valid
19608,496081,吐故纳新,tǔ gù nà xīn,multiple_valid
19662,496621,吟哦,yín é,multiple_valid
19672,496721,吧女,bā nǚ,multiple_valid
19678,496781,含垢忍辱,hán gòu rěn rǔ,multiple_valid
19772,497721,吸纳,xī nà,multiple_valid
19810,498101,呃逆,è nì,multiple_valid
19875,498751,呜呼哀哉,wū hū āi zāi,multiple_valid
19878,498781,呢喃,ní nán,multiple_valid
19953,499531,命案,mìng àn,multiple_valid
19996,499961,和稀泥,huò xī ní,multiple_valid
20096,500961,品格,pǐn gé,multiple_valid
20135,501351,哈尼族,hā ní zú,multiple_valid
20154,501541,响遏行云,xiǎng è xíng yún,multiple_valid
20395,503951,善感,shàn gǎn,multiple_valid
20435,504351,喜怒无常,xǐ nù wú cháng,multiple_valid
20443,504431,喜爱,xǐ ài,multiple_valid
20565,505651,嘟囔,dū nang,multiple_valid
20887,508871,困厄,kùn è,multiple_valid
20998,509981,国泰民安,guó tài mín ān,multiple_valid
21126,511261,土偶,tǔ ǒu,multiple_valid
21287,512871,地板革,dì bǎn gé,multiple_valid
21647,516471,基尼系数,jī ní xì shù,multiple_valid
21687,516871,堂奥,táng ào,multiple_valid
21967,519671,处女,chǔ nǚ,multiple_valid
21968,519681,处女作,chǔ nǚ zuò,multiple_valid
21969,519691,处女地,chǔ nǚ dì,multiple_valid
21970,519701,处女峰,chǔ nǚ fēng,multiple_valid
21971,519711,处女膜,chǔ nǚ mó,multiple_valid
21972,519721,处女航,chǔ nǚ háng,multiple_valid
