id,topic,hanzi
4916,数字,零
4917,数字,一
4918,数字,二
4919,数字,三
4920,数字,四
4921,数字,五
4922,数字,六
4923,数字,七
4924,数字,八
4925,数字,九
4926,数字,十
4927,数字,百
4928,数字,千
4929,数字,万
4930,数字,亿
4931,数字,兆
4932,数字,两
4933,数字,几
4934,数字,半
4935,数字,双
4936,数字,对
4937,数字,打
4938,数字,壹
4939,数字,贰
4940,数字,叁
4941,数字,肆
4942,数字,伍
4943,数字,陆
4944,数字,柒
4945,数字,捌
4946,数字,玖
4947,数字,拾
4948,数字,佰
4949,数字,仟
4950,数字,零头
4951,数字,整数
4952,数字,小数
4953,数字,分数
4954,数字,百分比
4955,数字,半数
4956,数字,倍数
4957,数字,序数
4958,数字,基数
4959,数字,奇数
4960,数字,偶数
4961,数字,质数
4962,数字,合数
4963,数字,正数
4964,数字,负数
4965,数字,绝对值
4966,数字,总和
4967,数字,差
4968,数字,积
4969,数字,商
4970,数字,余数
4971,数字,约数
4972,数字,倍数
4973,数字,第
4974,数字,初
4975,数字,单
4976,数字,独
4977,数字,复
4978,数字,多
4979,数字,少
4980,数字,增
4981,数字,减
4982,数字,翻
4983,数字,倍
4984,数字,成
4985,数字,打
4986,数字,打数
4987,数字,个数
4988,数字,数量
4989,数字,数目
4990,数字,数字
4991,数字,数值
4992,数字,数码
4993,数字,计数
4994,数字,计算
4995,数字,算术
4996,数字,运算
4997,数字,加上
4998,数字,减去
4999,数字,乘以
5000,数字,除以
5001,时间日期,年
5002,时间日期,月
5003,时间日期,日
5004,时间日期,时
5005,时间日期,分
5006,时间日期,秒
5007,时间日期,周
5008,时间日期,星期
5009,时间日期,礼拜
5010,时间日期,天
5011,时间日期,小时
5012,时间日期,分钟
5013,时间日期,秒钟
5014,时间日期,季度
5015,时间日期,季节
5016,时间日期,春
5017,时间日期,夏
5018,时间日期,秋
5019,时间日期,冬
5020,时间日期,一月
5021,时间日期,二月
5022,时间日期,三月
5023,时间日期,四月
5024,时间日期,五月
5025,时间日期,六月
5026,时间日期,七月
5027,时间日期,八月
5028,时间日期,九月
5029,时间日期,十月
5030,时间日期,十一月
5031,时间日期,十二月
5032,时间日期,周一
5033,时间日期,周二
5034,时间日期,周三
5035,时间日期,周四
5036,时间日期,周五
5037,时间日期,周六
5038,时间日期,周日
5039,时间日期,星期一
5040,时间日期,星期二
5041,时间日期,星期三
5042,时间日期,星期四
5043,时间日期,星期五
5044,时间日期,星期六
5045,时间日期,星期日
5046,时间日期,今天
5047,时间日期,明天
5048,时间日期,后天
5049,时间日期,昨天
5050,时间日期,前天
5051,时间日期,大前天
5052,时间日期,大后天
5053,时间日期,上午
5054,时间日期,中午
5055,时间日期,下午
5056,时间日期,晚上
5057,时间日期,凌晨
5058,时间日期,清晨
5059,时间日期,傍晚
5060,时间日期,深夜
5061,时间日期,午夜
5062,时间日期,子时
5063,时间日期,丑时
5064,时间日期,寅时
5065,时间日期,卯时
5066,时间日期,辰时
5067,时间日期,巳时
5068,时间日期,午时
5069,时间日期,未时
5070,时间日期,申时
5071,时间日期,酉时
5072,时间日期,戌时
5073,时间日期,亥时
5074,时间日期,现在
5075,时间日期,过去
5076,时间日期,将来
5077,时间日期,未来
5078,时间日期,以前
5079,时间日期,以后
5080,时间日期,之前
5081,时间日期,之后
5082,时间日期,同时
5083,时间日期,时刻
5084,时间日期,时期
5085,时间日期,期间
5086,时间日期,初期
5087,时间日期,末期
5088,时间日期,早期
5089,时间日期,晚期
5090,时间日期,当代
5091,时间日期,古代
5092,时间日期,近代
5093,时间日期,现代
5094,时间日期,世纪
5095,时间日期,年代
5096,时间日期,月初
5097,时间日期,月中
5098,时间日期,月末
5099,时间日期,上旬
5100,时间日期,中旬
5101,时间日期,下旬
5102,时间日期,去年
5103,时间日期,今年
5104,时间日期,明年
5105,时间日期,前年
5106,时间日期,后年
5107,时间日期,上个月
5108,时间日期,这个月
5109,时间日期,下个月
5110,时间日期,上星期
5111,时间日期,上礼拜
5112,时间日期,这星期
5113,时间日期,这个礼拜
