hsk_sn,cihui,pinyin,hsk_level
1,爱,ài,1
2,八,bā,1
3,爸爸,bà ba,1
4,杯子,bēi zi,1
5,北京,Běi jīng,1
6,本,běn,1
7,不客气,bù kè qi,1
8,不,bù,1
9,菜,cài,1
10,茶,chá,1
11,吃,chī,1
12,出租车,chū zū chē,1
13,打电话,dǎ diàn huà,1
14,大,dà,1
15,的,de,1
16,点,diǎn,1
17,电脑,diàn nǎo,1
18,电视,diàn shì,1
19,电影,diàn yǐng,1
20,东西,dōng xi,1
21,都,dōu,1
22,读,dú,1
23,对不起,duì bu qǐ,1
24,多,duō,1
25,多少,duō shao,1
26,儿子,ér zi,1
27,二,èr,1
28,饭馆,fàn guǎn,1
29,飞机,fēi jī,1
30,分钟,fēn zhōng,1
31,高兴,gāo xìng,1
32,个,gè,1
33,工作,gōng zuò,1
34,狗,gǒu,1
35,汉语,Hàn yǔ,1
36,好,hǎo,1
37,喝,hē,1
38,和,hé,1
39,很,hěn,1
40,后面,hòu mian,1
41,回,huí,1
42,会,huì,1
43,火车站,huǒ chē zhàn,1
44,几,jǐ,1
45,家,jiā,1
46,叫,jiào,1
47,今天,jīn tiān,1
48,九,jiǔ,1
49,开,kāi,1
50,看,kàn,1
51,看见,kàn jiàn,1
52,块,kuài,1
53,来,lái,1
54,老师,lǎo shī,1
55,了,le,1
56,冷,lěng,1
57,里,lǐ,1
58,零,líng,1
59,六,liù,1
60,妈妈,mā ma,1
61,吗,ma,1
62,买,mǎi,1
63,猫,māo,1
64,没,méi,1
65,没关系,méi guān xi,1
66,米饭,mǐ fàn,1
67,明天,míng tiān,1
68,名字,míng zi,1
69,哪,nǎ,1
70,那,nà,1
71,呢,ne,1
72,能,néng,1
73,你,nǐ,1
74,年,nián,1
75,女儿,nǚ ér,1
76,朋友,péng you,1
77,漂亮,piào liang,1
78,苹果,píng guǒ,1
79,七,qī,1
80,钱,qián,1
81,前面,qián miàn,1
82,请,qǐng,1
83,去,qù,1
84,热,rè,1
85,人,rén,1
86,认识,rèn shi,1
87,日,rì,1
88,三,sān,1
89,商店,shāng diàn,1
90,上,shàng,1
91,上午,shàng wǔ,1
92,少,shǎo,1
93,谁,shéi,1
94,什么,shén me,1
95,十,shí,1
96,时候,shí hou,1
97,是,shì,1
98,书,shū,1
99,水,shuǐ,1
100,水果,shuǐ guǒ,1
101,睡觉,shuì jiào,1
102,说话,shuō huà,1
103,四,sì,1
104,岁,suì,1
105,他,tā,1
106,她,tā,1
107,太,tài,1
108,天气,tiān qì,1
109,听,tīng,1
110,同学,tóng xué,1
111,喂,wèi,1
112,我,wǒ,1
113,我们,wǒ men,1
114,五,wǔ,1
115,喜欢,xǐ huan,1
116,下,xià,1
117,下午,xià wǔ,1
118,下雨,xià yǔ,1
119,先生,xiān sheng,1
120,现在,xiàn zài,1
121,想,xiǎng,1
122,小,xiǎo,1
123,小姐,xiǎo jie,1
124,些,xiē,1
125,写,xiě,1
126,谢谢,xiè xie,1
127,星期,xīng qī,1
128,学生,xué sheng,1
129,学习,xué xí,1
130,学校,xué xiào,1
131,一,yī,1
132,衣服,yī fu,1
133,医生,yī shēng,1
134,医院,yī yuàn,1
135,椅子,yǐ zi,1
136,有,yǒu,1
137,月,yuè,1
138,在,zài,1
139,再见,zài jiàn,1
140,怎么,zěn me,1
141,怎么样,zěn me yàng,1
142,这,zhè,1
