definition_id,pinyin_id,definition_sn,definition_cn,definition_en,definition_img
111,11,1,箭靶的中心,bull's-eye,
121,12,1,〈书fml.〉真实;实在,truly; really,
131,13,1,"〈助词aux.〉(②—⑤同),用在定语的后面。",[used after an attribute from ② through ⑤],
132,13,2,用来构成没有中心词的‘的’字结构。,"[used at the end of a nominal structure, equivalent to a noun phrase]",
133,13,3,"用在谓语动词后面,强调这动作的施事者或时间、地点、方式等","[used between a verb and its object for emphasis of the subject, time, venue, way, etc. of an action]",
134,13,4,"用在陈述句的末尾,表示肯定的语气",[used at the end of a statement to indicate certainty],
135,13,5,"用在两个同类的词或词组之后,表示‘等等、之类’的意思",[used after words or phrases belonging to the same part of speech to imply further enumeration],
136,13,6,用在两个数量词中间。,[used between two numerals],
137,13,7,同same as‘得’(·de)②③。⇒的dí,,
211,21,1,见see‘一’(yī)。,,
221,22,1,见see‘一’(yī)。,,
231,23,1,"数目,最小的正整数。",one; the smallest positive integer,
232,23,2,同一,same,
233,23,3,另一,also; otherwise,
234,23,4,全;满,whole; all; throughout,
235,23,5,专一,concentrated; wholehearted,
236,23,6,"表示动作是一次,或表示动作是短暂的,或表示动作是试试的","[used to indicate that an action occurs just once or lasts for a short time, or is being attempted]",
237,23,7,"用在动词或动量词前面,表示先做某个动作(下文说明动作结果)",[used before a verb or a verbal measure to indicate an action to be followed by a result],
238,23,8,一旦;一经,once; as soon as,
239,23,9,〈书fml.〉〈助词aux.〉用在某些词前加强语气,[used before certain words for emphasis],
240,23,10,"我国民族音乐音阶上的一级,乐谱上用做记音符号,相当于简谱的‘’。","note in the traditional Chinese musical scale, corresponding to  in numbered musical notation",
311,31,1,对;正确(跟‘非’相对as opposed to‘wrong’}),correct; right,
312,31,2,〈书fml.〉认为正确,praise; justify,
313,31,3,表示答应的词,[used in affirmative answers] yes; right,
314,31,4,(Shì)姓。,a surname,
315,31,5,〈书fml.〉这;这个,this; that,
316,31,6,"联系两种事物,表明两者同一或后者说明前者的种类、属性","[used like ‘be’ before nouns or pronouns to identify, describe or amplify the subject]",
317,31,7,"与‘的’字相应,有分类的作用","[used with 的·de at the end of the sentence, to indicate category, characteristic, etc.]",
318,31,8,"联系两种事物,表示陈述的对象属于‘是’后面所说的情况",[used to indicate the state or condition of the subject],
319,31,9,"表示存在,主语通常是表处所的语词,‘是’后面表示存在的事物",[used after nouns denoting place or position to express existence],
320,31,10,"‘是’前后用相同的名词或动词,连用两个这样的格式,表示所说的几桩事物互不相干,不能混淆",[used in between two identical nouns or verbs in two or more similar patterns to indicate distinction],
321,31,11,"在上半句里‘是’前后用相同的名词、形容词或动词,表示让步,含有‘虽然’的意思","[used in between identical noun, adjective or verb forms to indicate concession] even though",
322,31,12,"用在句首,加重语气",[used at the beginning of a sentence for emphasis],
323,31,13,"用在名词前面,含有‘凡是’的意思",[used before a noun to indicate each and every one of the kind] all; everything; anything,
324,31,14,"用在名词前面,含有‘适合’的意思",[used before a noun] be just right,
325,31,15,用在选择问句、是非问句或反问句里,"[used in alternative, yes/no, or rhetorical questions]",
326,31,16,"(必须重读)表示坚决肯定,含有‘的确、实在’的意思",[pronounced emphatically to indicate certainty] really; truly,
411,41,1,见see‘不’(bù)。,,
421,42,1,用在动词、形容词和其他副词前面表示否定,"[used before verbs, adjectives, and other adverbs to indicate negation]",
422,42,2,"加在名词或名词性词素前面,构成形容词",[used before certain nouns or nominal morphemes to form an adjective],
423,42,3,"单用,做否定性的回答(答话的意思跟问题相反)",[used by itself as a negative answer],
424,42,4,"〈方dial.〉用在句末表示疑问,跟反复问句的作用相等",[attached to the end of a sentence to indicate doubt or question],
425,42,5,"用在动补结构中间,表示不可能达到某种结果",[used between a verb and its complement to indicate that sth. is impossible],
426,42,6,"‘不’字的前后叠用相同的词,表示不在乎或不相干(常在前边加‘什么’",usu. preceded by 什么 shén·me,
427,42,7,"跟‘就’搭用,表示选择",[used correlatively with 就 jiù to indicate alteration],
428,42,8,〈方dial.〉不用;不要(限用于某些客套话,used in polite formulas only,
511,51,1,"用在动词或形容词后面,表示动作或变化已经完成。",[used after a verb or an adjective to indicate the completion of an action or a change],
512,51,2,"用在句子的末尾或句中停顿的地方,表示变化或出现新的情况。",[used at the end of a sentence or a pause in the middle of a sentence to indicate a change or a new situation],
521,52,1,完毕;结束,finish; end; complete; settle; dispose of,
522,52,2,"放在动词后,跟‘得、不’连用,表示可能或不可能",[used in conjunction with 得·de and 不 bù after a verb to express possibility],
523,52,3,〈书fml.〉完全(不);一点(也没有),entirely (not); not a bit,
524,52,4,明白;懂得,understand; know; realize,
611,61,1,存在;生存,exist; be alive,
612,61,2,表示人或事物的位置,[indicating where a person or a thing is],
613,61,3,留在,remain,
614,61,4,参加(某团体);属于(某团体),join or belong to (an organization),
615,61,5,在于;决定于,lie in; depend on; rest with; rely on,
616,61,6,"‘在’和‘所’连用,表示强调,下面多连‘不’",[used together with 所 suǒ and usu. followed by 不 bù to indicate emphasis],
617,61,7,〈介词prep.〉表示时间、处所、范围等,"[indicating time, place, scope, etc.]",
618,61,8,正在,[indicating an action in progress],
711,71,1,〈书fml.〉同same as‘又’,yòu,
721,72,1,"表示领有(跟‘无’或‘没’相对,下②③同as opposed to‘have not’, same with the following ② and ③})",have; possess,
722,72,2,表示存在,there is; exist,
723,72,3,表示估量或比较,[indicating estimation or comparison],
724,72,4,表示发生或出现,[indicating occurrence or emergence],
725,72,5,"表示多,大",[indicating much or big],
726,72,6,"泛指,跟‘某’的作用相近","[used in a general sense, indicating ‘certain’ or ‘some’]",
727,72,7,"用在‘人、时候、地方’前面,表示一部分","[used before ‘person, time, place’ to indicate some]",
728,72,8,"用在某些动词的前面组成套语,表示客气",[used before certain verbs to form polite formulas],
729,72,9,〈书fml.〉<前缀prefix〉用在某些朝代名称的前面,[used before the names of certain dynasties],
811,81,1,能制造工具并使用工具进行劳动的高等动物,humanity; higher animal that can make tools and use them in labour,
812,81,2,每人;一般人,everyone,
813,81,3,指成年人,adult man or woman,
814,81,4,指某种人,certain category of people,
815,81,5,别人,others; other people,
816,81,6,指人的品质、性格或名誉,personality; character; reputation,
817,81,7,指人的身体或意识,one's state of health or mind,
818,81,8,指人手、人才,hand; talent,
911,91,1,<指示代词demons. pron.〉指示比较近的人或事物。,[indicating sb. or sth. close by],
912,91,2,这时候,now; then,
921,92,1,‘这’(zhè)的口语音。,"variant pronunciation for 这 zhè, in spoken Chinese",
1011,101,1,"指上声,‘上’(shàng)的又音。",variant pronunciation for 上2shàng ,
1021,102,1,表示由低处向高处,up; upward,
1022,102,2,表示有了结果或达到目的,[indicating the attainment of an objective],
1023,102,3,表示开始并继续,[indicating that an action has started and is in progress],
1031,103,1,"用在名词后,表示在物体的表面",[used after a noun to indicate the surface of sth.] on,
1032,103,2,"用在名词后,表示在某种事物的范围以内",[used after a noun to indicate the limited scope of sth.] at; in,
1033,103,3,"用在名词后,表示某一方面",[used after a noun to indicate a certain aspect],
1034,102,4,位置在高处的,up; upper; above,
1035,102,5,等级或品质高的,high grade or high quality; top grade or top quality,
1036,102,6,次序或时间在前的,preceding (in order or time),
1037,102,7,〈旧时old〉指皇帝,referring to the emperor,
1038,102,8,向上面,upward,
1039,102,9,由低处到高处,come or go up; ascend,
1040,102,10,到;去(某个地方),go to; leave for,
1041,102,11,向上级呈递,submit sth. to a higher authority,
1042,102,12,向前进,forge ahead; go ahead,
1043,102,13,出场,appear on stage; enter the court,
1044,102,14,把饭菜等端上桌子,serve; lay dishes on the table,
1045,102,15,添补;增加,fill; supply; replenish,
1046,102,16,把一件东西安装在另一件东西上;把一件东西的两部分安装在一起,fix; place sth. in position; fix one thing on another; fix two parts together,
1047,102,17,涂;搽,apply; paint; smear,
1048,102,18,登载,carry; print,
1049,102,19,拧紧,wind; screw up; tighten,
1050,102,20,到规定时间开始工作或学习等,start work or study at a fixed time,
1051,102,21,达到;够(一定数量或程度),up to; as many as,
1052,102,22,(又shǎng)四声之一;上声,(also shǎng) falling-rising tone; 3rd of the four tones in Chinese pronunciation,
1053,102,23,"我国民族音乐音阶上的一级,乐谱上用做记音符号,相当于简谱的‘1’。","note of the scale in traditional Chinese music, corresponding to 1 in numbered musical notation;",
1111,111,1,"义同‘大’(dà),用于‘大城、大夫、大黄、大王’。","same meaning as 大dà, used in 大城Dàichéng, 大夫dài·fu, 大黄dàihuáng, and 大王dài·wɑng",
1121,112,1,在体积、面积、数量、力量、强度等方面超过一般或超过所比较的对象(跟‘小’相对as opposed to‘small’}),"big; large; great (in volume, area, quantity, force, strength, etc.)",
1122,112,2,大小的程度,size; age,
1123,112,3,程度深,high degree,
1124,112,4,"用于‘不’后,表示程度浅或次数少",[used after 不 bù to mean] not very; not often,
1125,112,5,排行第一的,eldest,
1126,112,6,年纪大的人,adult; grown-up,
1127,112,7,〈敬辞pol.〉称与对方有关的事物,[referring to things related to others] your,
1128,112,8,"用在时令或节日前,表示强调",[used before time or festival for emphasis],
1129,112,9,(Dà)姓。,a surname,
1130,112,10,父亲,father,
1131,112,11,伯父或叔父,father's brother; uncle,
1211,121,1,"用在动词后,表示动作朝着说话人所在的地方","[used after a verb, indicating motion towards the speaker] hither; here",
1212,121,2,"用在动词后,表示结果或估量",[used after a verb to indicate result or estimation],
1213,121,3,从别的地方到说话人所在的地方(跟‘去’① 相对as opposed to‘go’}),come; arrive,
1214,121,4,(问题、事情等)发生;来到,take place; occur,
1215,121,5,做某个动作(代替意义更具体的动词),[used in place of a more specific verb] do,
1216,121,6,"跟‘得’或‘不’连用,表示可能或不可能",[used with 得·de or 不 bù to indicate possibility or impossibility],
1217,121,7,"用在另一动词前面,表示要做某件事",[used before a verb to indicate an intention to do sth.],
1218,121,8,"用在另一动词或动词结构后面,表示来做某件事",[used after a verb or verbal phrase to indicate what one has come for],
1219,121,9,"用在动词结构(或介词结构)与动词(或动词结构)之间,表示前者是方法、方向或态度,后者是目的",[inserted between two verbs or verbal phrases or between a prepositional phrase and a verb or verbal phrase so that the former indicates the way of doing things and the latter the purpose],
1220,121,10,来着,[indicate what happened in the past],
1221,121,11,未来的,"future, next",
1222,121,12,从过去到现在,up to the present,
1223,121,13,用在‘十、百、千’等数词或数量词后面表示概数,"[used after round numbers such as 十shí, 百bǎi and千 qiān to indicate approximation]",
1224,121,14,"用在‘一、二、三’等数词后面,列举理由","[used after numerals 一 yī, 二èr, 三sān, etc. to reel off reasons or points of argument]",
1225,121,15,(Lái)姓。,a surname,
1226,121,16,诗歌、熟语、叫卖声里用做衬字,[used as a syllable filler in folk ballads],
1311,131,1,和谐地跟着唱,join in singing,
1312,131,2,依照别人的诗词的题材和体裁做诗词,"compose a poem in reply, using the same theme and rhyme scheme",
1321,132,1,"打麻将或斗纸牌时某一家的牌合乎规定的要求,取得胜利。",win and complete a set in mah-jong,
1331,133,1,在粉状物中加液体搅拌或揉弄使有黏性,add liquid to powder and stir or knead to make viscous,
1341,134,1,"粉状或粒状物搀和在一起,或加水搅拌使成较稀的东西",mix; blend; mix powder or particles with water,
