pinyin_id,hanzi,pinyin
11,的,dì
12,的,dí
13,的,de
21,一,yí
22,一,yì
23,一,yī
31,是,shì
41,不,bú
42,不,bù
51,了,le
52,了,liǎo
61,在,zài
71,有,yòu
72,有,yǒu
81,人,rén
91,这,zhè
92,这,zhèi
101,上,shǎng
102,上,shàng
103,上,shang
111,大,dài
112,大,dà
121,来,lái
131,和,hè
132,和,hú
133,和,huó
134,和,huò
135,和,hé
141,我,wǒ
151,个,gě
152,个,gè
161,中,zhōng
162,中,zhòng
171,地,dì
172,地,de
181,为,wèi
182,为,wéi
191,他,tā
201,生,shēng
211,要,yāo
212,要,yào
221,们,men
231,以,yǐ
241,到,dào
251,国,guó
261,时,shí
271,就,jiù
281,出,chū
291,说,shuō
292,说,shuì
293,说,yuè
301,会,kuài
302,会,huì
311,也,yě
321,子,zi
322,子,zǐ
331,学,xué
341,发,fā
342,发,fà
351,着,zháo
352,着,zhe
353,着,zhāo
354,着,zhuó
361,对,duì
371,作,zuò
372,作,zuō
381,能,néng
391,可,kè
392,可,kě
401,于,yú
411,成,chéng
421,用,yòng
431,过,guō
432,过,guò
441,动,dòng
451,主,zhǔ
461,下,xià
471,而,ér
481,年,nián
491,分,fēn
492,分,fèn
501,得,de
502,得,děi
503,得,dé
511,家,jia
512,家,jie
513,家,jiā
521,种,chóng
522,种,zhòng
523,种,zhǒng
531,里,li
532,里,lǐ
541,多,duō
551,经,jìng
552,经,jīng
561,自,zì
571,现,xiàn
581,同,tóng
582,同,tòng
591,后,hòu
601,产,chǎn
611,方,fāng
621,工,gōng
631,行,xíng
632,行,háng
633,行,hàng
634,行,héng
641,面,miàn
651,那,nā
652,那,nèi
653,那,nè
654,那,nà
661,小,xiǎo
671,所,suǒ
681,起,qǐ
691,去,qù
701,之,zhī
711,都,dōu
712,都,dū
721,然,rán
731,理,lǐ
741,进,jìn
751,体,tī
752,体,tǐ
761,还,hái
762,还,huán
771,定,dìng
781,实,shí
791,如,rú
801,么,me
811,物,wù
821,法,fǎ
831,你,nǐ
841,好,hào
842,好,hǎo
851,性,xìng
861,民,mín
871,从,cóng
881,天,tiān
891,化,huā
892,化,huà
901,等,děng
911,力,lì
921,本,běn
931,长,cháng
932,长,zhǎng
941,心,xīn
951,把,bà
952,把,bǎ
961,部,bù
971,义,yì
981,样,yàng
991,事,shì
1001,看,kàn
1002,看,kān
1011,业,yè
1021,当,dàng
1022,当,dāng
1031,因,yīn
1041,高,gāo
1051,十,shí
1061,开,kāi
1071,些,xiē
1081,社,shè
