hanzi_id,pinyin_id,hanzi,pinyin
10409,404091,一一,yīyī
10410,404101,一下,yīxià
10411,404111,一世,yīshì
10412,404121,一丘之貉,yīqiūzhīhé
10413,404131,一丝,yīsī
10414,404141,一丝一毫,yīsīyīháo
10415,404151,一丝不挂,yīsībùguà
10416,404161,一个巴掌拍不响,yīgebāzhangpāibùxiǎng
10417,404171,一举,yījǔ
10418,404181,一了百了,yīliǎobǎiliǎo
10419,404191,一事,yīshì
10420,404201,一事无成,yīshìwúchéng
10421,404211,一二,yīèr
10422,404221,一五一十,yīwǔyīshí
10423,404231,一些,yīxiē
10424,404241,一仍旧贯,yīréngjiùguàn
10425,404251,一从,yīcóng
10426,404261,一任,yīrèn
10427,404271,一似,yīsì
10428,404281,一体,yītǐ
10429,404291,一例,yīlì
10430,404301,一倡百和,yīchàngbǎihè
10431,404311,一偏,yīpiān
10432,404321,一元化,yīyuánhuà
10433,404331,一元论,yīyuánlùn
10434,404341,一准,yīzhǔn
10435,404351,一刀两断,yīdāoliǎngduàn
10436,404361,一刀切,yīdāoqiē
10437,404371,一刬,yīchàn
10438,404381,一刹那,yīchànà
10439,404391,一刻,yīkè
10440,404401,一力,yīlì
10441,404411,一动,yīdòng
10442,404421,一劳永逸,yīláoyǒngyì
10443,404431,一包在内,yībāozàinèi
10444,404441,一半,yībàn
10445,404451,一半天,yībàntiān
10446,404461,一反常态,yīfǎnchángtài
10447,404471,一发,yīfā
10448,404481,一发千钧,yīfàqiānjūn
10449,404491,一口,yīkǒu
10450,404501,一口气,yīkǒuqì
10451,404511,一叶知秋,yīyèzhīqiū
10452,404521,一叶蔽目,yīyèbìmù
10453,404531,一同,yītóng
10454,404541,一味,yīwèi
10455,404551,一呼百应,yīhūbǎiyìng
10456,404561,一命呜呼,yīmìngwūhū
10457,404571,一品红,yīpǐnhóng
10458,404581,一品锅,yīpǐnguō
10459,404591,一唱一和,yīchàngyīhè
10460,404601,一团和气,yītuánhéqì
10461,404611,一团漆黑,yītuánqīhēi
10462,404621,一团糟,yītuánzāo
10463,404631,一国三公,yīguósāngōng
10464,404641,一国两制,yīguóliǎngzhì
10465,404651,一场空,yīchángkōng
10466,404661,一塌刮子,yītāguāzi
