cihui,pinyin,rank
的,de,1
是,shi4,2
在,zai4,3
一,yi1,4
不,bu4,5
有,you3,6
这,zhe4,7
个,ge4,8
上,shang4,9
也,ye3,10
他,ta1,11
人,ren2,12
就,jiu4,13
对,dui4,14
说,shuo1,15
我,wo3,16
要,yao4,17
到,dao4,18
大,da4,19
我们,wo3'men,20
多,duo1,21
把,ba3,22
来,lai2,23
等,deng3,24
年,nian2,25
两,liang3,26
从,cong2,27
而,er2,28
能,neng2,29
又,you4,30
他们,ta1'men,31
以,yi3,32
时,shi2,33
没有,mei2'you3,34
会,hui4,35
之,zhi1,36
但,dan4,37
三,san1,38
被,bei4,39
很,hen3,40
下,xia4,41
自己,zi4'ji3,42
后,hou4,43
中国,zhong1'guo2,44
并,bing4,45
使,shi3,46
向,xiang4,47
已,yi3,48
出,chu1,49
用,yong4,50
新,xin1,51
所,suo3,52
里,li3,53
给,gei3,54
她,ta1,55
更,geng4,56
次,ci4,57
最,zui4,58
述,shu4,59
可以,ke3'yi3,60
可,ke3,61
去,qu4,62
由,you2,63
问题,wen4'ti2,64
小,xiao3,65
工作,gong1'zuo4,66
让,rang4,67
其,qi2,68
你,ni3,69
这个,zhe4'ge,70
生活,sheng1'huo2,71
起,qi3,72
这样,zhe4'yang4,73
天,tian1,74
它,ta1,75
高,gao1,76
做,zuo4,77
家,jia1,78
已经,yi3'jing,79
再,zai4,80
或,huo4,81
才,cai2,82
前,qian2,83
走,zou3,84
这些,zhe4'xie1,85
一些,yi1'xie1,86
却,que4,87
二,er4,88
条,tiao2,89
位,wei4,90
起来,qi3'lai2,91
各,ge4,92
成,cheng2,93
什么,shen2'me,94
兀,wu4,95
现在,xian4'zai4,96
社会,she4'hui4,97
比,bi3,98
同,tong2,99
四,si4,100
关系,guan1'xi4,101
名,ming2,102
想,xiang3,103
如,ru2,104
第一,di4'yi1,105
因为,yin1'wei4,106
该,gai1,107
开始,kai1'shi3,108
许多,xu3'duo1,109
内,nei4,110
时间,shi2'jian1,111
人们,ren2'men,112
今天,jin1'tian1,113
国家,guo2'jia1,114
本,ben3,115
点,dian3,116
思想,si1'xiang3,117
至,zhi4,118
此,ci3,119
一定,yi1'ding4,120
如果,ru2'guo3,121
副,fu4,122
无,wu2,123
张,zhang1,124
同时,tong2'shi2,125
需要,xu1'yao4,126
月,yue4,127
则,ze2,128
重要,zhong4'yao4,129
为了,wei4'le,130
日,ri4,131
老,lao3,132
就是,jiu4'shi4,133
作,zuo4,134
五,wu3,135
人民,ren2'min2,136
事,shi4,137
认为,ren4'wei2,138
成为,cheng2'wei2,139
像,xiang4,140
北京,bei3'jing1,141
历史,li4'shi3,142
水,shui3,143
方面,fang1'mian4,144
情况,qing2'kuang4,145
而且,er2'qie3,146
党,dang3,147
学生,xue2'sheng1,148
每,mei3,149
这里,zhe4'li3,150
但是,dan4'shi4,151
孩子,hai2'zi3,152
可能,ke3'neng2,153
