cihui,pinyin,hsk_level,hsk_sn
登机牌,dēng jī pái,5,1404
一旦,yī dàn,5,2319
墨水儿,mò shuǐ r,6,3793
竭尽全力,jié jìn quán lì,6,3470
打喷嚏,dǎ pēn tì,5,1376
系领带,jì lǐng dài,5,1654
塑料袋,sù liào dài,4,1011
辩证,biàn zhèng,6,2628
放暑假,fàng shǔ jià,4,715
不客气,bù kè qi,1,7
摊儿,tān r,6,4247
打篮球,dá lán qiú,2,166
不耐烦,bù nài fán,5,1258
羊肉,yáng ròu,2,271
打电话,dǎ diàn huà,1,13
漂浮,piāo fú,6,3870
悬崖峭壁,xuán yá qiào bì,6,4553
垃圾桶,lā jī tǒng,4,861
元,yuán,2,283
片断,piàn duàn,6,3867
爬山,pá shān,3,474
招投标,zhāo tóu biāo,6,4794
举世闻名,jǔ shì wén míng,6,3538
风土人情,fēng tǔ rén qíng,6,3083
畔,pàn,6,3842
屑,xiè,6,4493
分之,fēn zhī,4,716
忍不住,rěn bu zhù,5,2003
解说员,jiě shuō yuán,5,1713
志愿者,zhì yuàn zhě,5,2435
与,yǔ,4,1129
大象,dà xiàng,5,1380
纽扣儿,niǔ kòu ér,6,3822
遇到,yù dào,3,574
桔子,jú zi,5,1737
波涛汹涌,bō tāo xiōng yǒng,6,2651
恰到好处,qià dào hǎo chù,6,3937
