pinyin_id,hanzi,pinyin,hsk_level,frequency_rank,pinyin_sn
13,的,de,1,1,1
11,的,dì,1,1,2
12,的,dí,1,1,3
23,一,yī,1,2,1
21,一,yí,1,2,2
22,一,yì,1,2,3
31,是,shì,1,4,1
42,不,bù,1,5,1
41,不,bú,1,5,2
51,了,le,1,7,1
52,了,liǎo,1,7,2
61,在,zài,1,8,1
72,有,yǒu,1,9,1
71,有,yòu,1,9,2
81,人,rén,1,11,1
91,这,zhè,1,12,1
92,这,zhèi,1,12,2
102,上,shàng,1,14,1
101,上,shǎng,1,14,2
103,上,shang,1,14,3
112,大,dà,1,15,1
111,大,dài,1,15,2
121,来,lái,1,17,1
135,和,hé,1,18,1
131,和,hè,1,18,2
132,和,hú,1,18,3
133,和,huó,1,18,4
134,和,huò,1,18,5
141,我,wǒ,1,19,1
152,个,gè,1,20,1
151,个,gě,1,20,2
191,他,tā,1,21,1
302,会,huì,1,34,1
301,会,kuài,1,34,2
381,能,néng,1,37,1
461,下,xià,1,39,1
481,年,nián,1,42,1
513,家,jiā,1,43,1
511,家,jia,1,43,2
512,家,jie,1,43,3
532,里,lǐ,1,45,1
531,里,li,1,45,2
541,多,duō,1,47,1
654,那,nà,1,55,1
651,那,nā,1,55,2
652,那,nèi,1,55,3
653,那,nè,1,55,4
661,小,xiǎo,1,56,1
691,去,qù,1,60,1
711,都,dōu,1,62,1
712,都,dū,1,62,2
831,你,nǐ,1,76,1
842,好,hǎo,1,77,1
841,好,hào,1,77,2
921,本,běn,1,83,1
1001,看,kàn,1,88,1
1002,看,kān,1,88,2
1051,十,shí,1,92,1
1061,开,kāi,1,93,1
1071,些,xiē,1,94,1
1121,水,shuǐ,1,100,1
1141,没,méi,1,102,1
1142,没,mò,1,102,2
1151,想,xiǎng,1,104,1
1171,三,sān,1,105,1
1201,点,diǎn,1,106,1
1351,二,èr,1,107,1
1551,很,hěn,1,108,1
1601,她,tā,1,109,1
1681,日,rì,1,110,1
1961,四,sì,1,111,1
1981,几,jǐ,1,112,1
1982,几,jī,1,112,2
2041,少,shǎo,1,113,1
2042,少,shào,1,113,2
2071,回,huí,1,114,1
2501,做,zuò,1,115,1
2591,五,wǔ,1,116,1
2611,月,yuè,1,117,1
3121,叫,jiào,1,118,1
3231,听,tīng,1,119,1
3292,呢,ne,1,120,1
3291,呢,ní,1,120,2
3331,太,tài,1,121,1
3401,住,zhù,1,122,1
3501,书,shū,1,123,1
3551,热,rè,1,124,1
3971,八,bā,1,125,1
3972,八,bá,1,125,2
4141,九,jiǔ,1,126,1
4171,吃,chī,1,127,1
4391,爱,ài,1,128,1
4411,写,xiě,1,129,1
4412,写,xiè,1,129,2
4482,六,liù,1,130,1
4481,六,lù,1,130,2
4591,字,zì,1,131,1
4841,七,qī,1,132,1
4842,七,qí,1,132,2
4873,吗,ma,1,133,1
4871,吗,má,1,133,2
4872,吗,mǎ,1,133,3
5905,哪,nǎ,1,134,1
5901,哪,né,1,134,2
5902,哪,nǎi,1,134,3
5903,哪,něi,1,134,4
5904,哪,na,1,134,5
6131,请,qǐng,1,135,1
6201,钱,qián,1,136,1
6271,坐,zuò,1,137,1
6611,谁,shéi,1,138,1
6612,谁,shuí,1,138,2
7021,块,kuài,1,139,1
7461,买,mǎi,1,140,1
7511,冷,lěng,1,141,1
7681,岁,suì,1,142,1
7921,读,dú,1,143,1
7922,读,dòu,1,143,2
9581,菜,cài,1,144,1
11281,零,líng,1,145,1
11332,喝,hē,1,146,1
11331,喝,hè,1,146,2
11931,茶,chá,1,147,1
12491,狗,gǒu,1,148,1
16101,猫,māo,1,149,1
16102,猫,máo,1,149,2
17701,喂,wèi,1,150,1
181,为,wèi,2,154,1
182,为,wéi,2,154,2
212,要,yào,2,156,1
211,要,yāo,2,156,2
241,到,dào,2,159,1
271,就,jiù,2,161,1
281,出,chū,2,163,1
311,也,yě,2,165,1
352,着,zhe,2,167,1
351,着,zháo,2,167,2
353,着,zhāo,2,167,3
354,着,zhuó,2,167,4
501,得,de,2,171,3
502,得,děi,2,171,2
503,得,dé,2,171,1
741,进,jìn,2,179,1
761,还,hái,2,181,1
762,还,huán,2,181,2
871,从,cóng,2,184,1
931,长,cháng,2,186,1
932,长,zhǎng,2,186,2
1041,高,gāo,2,189,1
1111,它,tā,2,191,1
172,地,de,3,198,1
171,地,dì,3,198,2
1311,两,liǎng,2,199,1
1331,外,wài,2,200,1
1571,新,xīn,2,205,1
1581,向,xiàng,2,206,1
1661,问,wèn,2,210,1
1721,最,zuì,2,211,1
1791,比,bǐ,2,212,1
2002,别,bié,2,217,1
2001,别,biè,2,217,2
2031,给,gěi,2,219,1
2032,给,jǐ,2,219,2
2101,次,cì,2,222,1
2221,走,zǒu,2,225,1
2231,真,zhēn,2,226,1
2281,门,mén,2,227,1
2341,题,tí,2,228,1
2691,路,lù,2,230,1
2741,再,zài,2,231,1
2781,件,jiàn,2,233,1
2911,白,bái,2,236,1
2991,完,wán,2,240,1
3171,张,zhāng,2,245,1
3301,每,měi,2,250,1
3451,百,bǎi,2,255,1
3681,近,jìn,2,259,1
3851,快,kuài,2,263,1
3931,离,lí,2,266,1
4231,红,hóng,2,270,1
4232,红,gōng,2,270,2
4351,笑,xiào,2,273,1
4381,远,yuǎn,2,274,1
4491,元,yuán,2,278,1
4691,千,qiān,2,282,1
4802,吧,ba,2,283,1
4801,吧,bā,2,283,2
5051,让,ràng,2,284,1
161,中,zhōng,,285,1
162,中,zhòng,,285,2
5261,找,zhǎo,2,286,1
5411,黑,hēi,2,287,1
6112,号,hào,2,288,1
6111,号,háo,2,288,2
6681,鱼,yú,2,289,1
6831,送,sòng,2,290,1
6871,错,cuò,2,291,1
6981,船,chuán,2,292,1
7591,忙,máng,2,293,1
7661,药,yào,2,294,1
7701,穿,chuān,2,295,1
7831,慢,màn,2,296,1
8341,贵,guì,2,297,1
8861,课,kè,2,298,1
9021,卖,mài,2,299,1
9261,您,nín,2,300,1
9741,雪,xuě,2,301,1
10541,累,lèi,2,302,1
10542,累,léi,2,302,2
10543,累,lěi,2,302,3
10891,阴,yīn,2,303,1
11121,玩,wán,2,304,1
11871,懂,dǒng,2,305,1
12061,洗,xǐ,2,306,1
12062,洗,xiǎn,2,306,2
12921,姓,xìng,2,307,1
13111,票,piào,2,308,1
20701,晴,qíng,2,310,1
22901,踢,tī,2,311,1
231,以,yǐ,4,312,1
201,生,shēng,,313,1
221,们,men,,319,1
421,用,yòng,3,321,1
251,国,guó,,327,1
261,时,shí,,330,1
491,分,fēn,3,333,1
492,分,fèn,3,333,2
523,种,zhǒng,3,336,1
521,种,chóng,3,336,2
