definition_id,pinyin_id,definition_sn,definition_cn,definition_en,definition_img,ref_pinyin_id,pos
2029,201,19,"戏曲角色行当,扮演男子,有老生、小生、武生等区别。","sheng, male role in traditional Chinese operas, including laosheng (role of an old or middle-aged man), xiaosheng (role of a young man), and wusheng (role of a warrior)",,,名词
3026,302,6,"民间朝山进香或酬神求年成时所组织的集体活动,如香会、迎神赛会等。","popular gathering at a temple to worship Buddha or pray for a bumper harvest, e.g. gathering of worshippers, festival to pacify the spirits",,,名词
3027,302,7,"民间一种小规模经济互助组织,入会成员按期平均交款,分期轮流使用。","small credit association, where members regularly contribute an equal amount to a common fund and draw from it by turns",,,名词
4515,451,5,基督教徒对上帝、伊斯兰教徒对真主的称呼。,(Christ.) God; Lord; (Islam) Allah,,,名词
5234,523,4,指胆量或骨气(跟‘有、没有’连用,"used with 有 yǒu, 没有 méi yǒu",,,名词
5522,552,2,〈中医Chin. med.〉指人体内气血运行通路的主干。,channels; passages for the circulation of blood and vital energy in the human body,,,名词
6416,641,6,"几何学上指一条线移动所构成的图形,有长有宽,没有厚。","surface; figure formed by moving a line, having length and breadth, but no thickness",,,名词
10116,1011,6,"佛教徒称一切行为、言语、思想为业,分别叫做身业、口业、意业,合称三业,包括善恶两面,一般专指恶业。","(Buddhism) karma; deed, speech and ideology, called the three karmas by Buddhists, including both good and evil; gen. evil",,,名词
10413,1041,3,三角形、平行四边形等从底部到顶部(顶点或平行线)的垂直距离。,vertical distance between the top and bottom of a triangle or a parallelogram,,,名词
10511,1051,1,"数目,九加一后所得。",ten; number obtained by adding one to nine;,,,数词
11211,1121,1,最简单的氢氧化合物，化学式H2O。无色、无味、无臭的液体，在标准大气压下，冰点0℃，沸点100℃，4℃时密度最大，比重为1。,"water H?O; simplest hydroxide in the form of a colourless, odourless, and tasteless liquid, which, under standard atmospheric pressure, freezes at 0℃ and boils at 100℃ and has a maximum density at 4℃ and a specific gravity of 1",,,名词
11711,1171,1,"数目,二加一后所得。",three; two plus one;,,,数词
12031,1201,21,"铁制的响器,挂起来敲,用来报告时间或召集群众。","iron bell, used to report time or call an assembly",,,名词
12033,1201,23,"时间单位,一昼夜的二十四分之一。",hour; period of time; 1/24 of a solar day,,,名词
12422,1242,2,"表明物质的有关性质所达到的程度,如硬度、热度、浓度、湿度等。","degree of hardness, heat, density, humidity",,,名词
12423,1242,3,计量单位名称。,unit of measurement,,,名词
12427,1242,7,"哲学上指一定事物保持自己质的数量界限。在这个界限内,量的增减不改变事物的质,超过这个界限,就要引起质变。",(philos.) cross-over point (between quantitative and qualitative change),,,名词
12626,1261,16,"说(跟文言‘曰’相当,多见于早期白话","equivalent to曰yuē in classical Chinese, oft. found in early vernacular",,,动词
13024,1302,4,相位。,phase,,,名词
13025,1302,5,"交流电路中的一个组成部分,如三相交流发电机有三个绕组,每个绕组叫做一相。","phase; component part of an alternating-current circuit, e.g. a three-phase alternator has three circuits, each of which is known as a phase",,,名词
13031,1302,11,"某些国家的官名,相当于中央政府的部长。",minister (of the central government of certain countries),,,名词
13618,1361,8,‘关上’的简称。,short form for 关上 guānshàng,,,名词
14321,1432,1,人身最上部或动物最前部长着口、鼻、眼等器官的部分。,"head; part of the body that contains the eyes, ears, nose, and mouth at the front of the body in animals and on the top of humans;",,,名词
14511,1451,1,"指测量东西多少的器物,如斗、升等。","ancient Chinese measures or measuring containers, such as dou (a container as well as a unit of dry measure for grain equivalent to one decalitre), sheng (a container as well as a unit of dry measure for grain equivalent to one litre), etc.",,,名词
14618,1461,8,测日影的标杆。,pole used as a sundial,,,名词
15123,1512,3,"年代地层单位的第三级,小于界,跟系相应的地质年代叫做纪。","system; 3rd-level division in chronostratigraphy, lower than erathem, with period being the corresponding geological age",,,名词
16711,1671,1,人体上肢前端能拿东西的部分。,"hand; the part at the end of a person's arm, used to pick up or keep hold of things",,,名词
17415,1741,5,"名词后缀,主要有下面几种作用。","[used as a noun suffix, which functions as follows]",,,助词
18314,1831,4,"建江,就是闽江,在福建。","Jianjiang River, or Minjiang River, in Fujian Province",,,名词
18711,1871,1,"用在整数的数词的前边,表示次序,如第一、第十。","[used before integers to indicate order, such as 1st, 10th]",,,数词
18811,1881,1,"有电荷存在和电荷变化的现象。电是一种很重要的能源,广泛用在生产和生活各方面,如发光、发热、产生动力等。","electricity; physical phenomenon arising from the existence and change of electric charge, an important energy source used extensively in production and daily life to provide light, heat, power, etc.",,,名词
19016,1901,6,指君主即位。,ascend the throne,,,动词
19713,1971,3,"封建时代官吏的级别,共分九品。",the nine ranks of officials in feudal times,,,名词
20030,2002,10,摔跤时用腿使绊把对方摔倒。,(in wrestling) cause sb. to stumble by a swinging movement of one's leg; trip up,,,动词
20715,2071,5,回禀。,report back (to one's superior),,,动词
20716,2071,6,谢绝(邀请);退掉(预定的酒席等);辞去(伙计、佣工)。,decline (an invitation); cancel (a reservation); dismiss (an employee),,,动词
20811,2081,1,"大洋靠近陆地的部分,有的大湖也叫海,如青海、里海。","(the parts of the ocean close to the continent) sea; (sometimes) big lake, e.g. the Qinghai Lake, and the Caspian Sea",,,名词
22632,2263,2,"数学上表示事物的量的基本概念,如自然数、整数、分数、有理数、无理数、实数、复数等。","(math.) number; basic concept identifying or designating the quantity of sth., e.g. natural number, whole number, fraction, rational number, irrational number, real number, complex number, etc.",,,名词
22633,2263,3,"一种语法范畴,表示名词或代词所指事物的数量,例如英语名词有单、复两种数。","(gram.) number; category of substantival inflection of nouns or pronouns, e.g. singular and plural for nouns in English",,,名词
22820,2281,10,"生物学中把具有最基本最显著的共同特征的生物分为若干群,每一群叫一门,如原生动物门、裸子植物门等。门以下为纲。","phylum; biological term denoting one of the primary ranks of organisms, consisting of one or more related classes, such as protozoa, gymnospermae, etc. Below the phylum is class.",,,名词
22821,2281,11,"压宝时下赌注的位置名称,也用来表示赌博者的位置,有‘天门’、‘青龙’等名目。","gambler's position from which stakes are laid, known as ‘heavenly gate’, ‘black dragon’, etc.",,,名词
23211,2321,1,"通常指照在物体上,使人能看见物体的那种物质,如太阳光、灯光、月光等。可见光是波长0.77—0.39微米的电磁波。此外还包括看不见的红外光和紫外光。因为光是电磁波的一种,所以也叫光波;在一般情况下光沿直线传播,所以也叫光线。","light; electromagnetic radiation that acts upon the retina of the eye, optic nerve, etc., making sight possible; matter that shines over an object, making it visible to the eye, such as sunlight, lamplight, and moonlight. The wavelength of the visible light is a electromagnetic wave 0.77-0.39 micrometres in length. Besides, there are infrared light and ultraviolet light. As light is one of the electromagnetic waves, it is also called light wave. In normal conditions, light is transmitted along a straight line, and is therefore called ray.",,,名词
23711,2371,1,"人或动物进饮食的器官,有的也是发声器官的一部分。",mouth; human or animal's organ for taking food and uttering sounds;,,,名词
25826,2582,6,"戏剧中较小的段落, 每场表演故事的一个片段。","scene; small section in one act, portraying a small part of the story",,,名词
26017,2601,7,汉字的笔画，即“竖”。,vertical stroke (in Chinese characters); same as 竖1shù ④,,,名词
26112,2611,2,"计时的单位,公历1年分为12个月。",month; one year being divided into 12 months,,,名词
26513,2651,3,效法。,take as an example; imitate; emulate; follow,,,动词
27315,2731,5,"生物学中把同一纲的生物按照彼此相似的特征分为几个群叫做目,如鸟纲中有雁形目、鸡形目、鹤形目等,松柏纲中有银杏目、松柏目等。目以下为科。","order; classification of a group of related plants or animals ranking above a family and below a class, such as the order Anseriformes, Galliformes, Gruiformes, etc. in the bird class, and the order Ginkgo, Coniferales, etc. in the pine and cypress class",,,名词
28118,2811,8,方根的简称。,Abbr. for方根 fānggēn,,,名词
28119,2811,9,一元方程的解。,(of an algebraic equation) solution,,,名词
28315,2831,5,下象棋时攻击对方的‘将’或‘帅’。,(in chess game) attack the opponent's king; check,,,动词
28614,2861,4,"围棋用语,成片的白子或黑子中间的空儿,在这个空儿中对手不能下成活棋。","trap; go term, meaning empty space in the middle of patches of black or white pieces, where an opponent has no way of manoeuvring",,,名词
29111,2911,1,"像霜或雪的颜色,是物体被日光或与日光相似的光线照射,各种波长的光都被反射时呈现的颜色(跟‘黑’相对as opposed to‘black’})。",white; colour resulting from the reflection of sunlight or similar rays of all wavelengths on an object without absorbing any of the visible rays; colour of snow or frost,,,形容词
29124,2911,14,指地方话。,dialect,,,名词
29211,2921,1,"哺乳动物,头小,面部长,耳壳直立,颈部有鬣,四肢强健,每肢各有一蹄,善跑,尾生有长毛。是重要的力畜之一,可供拉车、耕地、乘骑等用。皮可制革。","horse; large, solid-hoofed herbivorous quadruped of the genus Equus, with mane on its nape, good at galloping, with long hair growing on its tail, serving as major draught animal for pulling carts, ploughing and mounting, its hide a material for leather",,,名词
