pinyin_id,hanzi,pinyin,definition_id,definition_sn,definition_cn,example_sn,example_cn
22581,颂,sòng,225813,3,"周代祭祀时用的舞曲,配曲的歌词有些收在《诗经》里面。",1,《祖国颂》。
22561,吟,yín,225612,2,呻吟;叹息。,1,《秦妇吟》
12521,宋,sòng,125211,1,"周朝国名,在今河南商丘一带。",5,【南宋】
4621,团,tuán,46217,7,"军队的编制单位,一般隶属于师,下辖若干营。",1,一团毛线
4621,团,tuán,46218,8,"青少年的政治性组织,如儿童团、青年团等,在中国特指中国共产主义青年团。",1,一团毛线
4621,团,tuán,46219,9,〈旧时old〉某些地区相当于乡一级的政权机关。,1,一团毛线
4621,团,tuán,46217,7,"军队的编制单位,一般隶属于师,下辖若干营。",2,一团碎纸。
4621,团,tuán,46218,8,"青少年的政治性组织,如儿童团、青年团等,在中国特指中国共产主义青年团。",2,一团碎纸。
4621,团,tuán,46219,9,〈旧时old〉某些地区相当于乡一级的政权机关。,2,一团碎纸。
23571,瞎,xiā,235714,4,〈方dial.〉农作物种子没有发芽出土或农作物子粒不饱满。,2,一场冰雹瞎了多少庄稼。
8031,担,dàn,80312,2,"重量单位,100斤等于1担。",1,一担水
5712,排,pái,57123,3,"军队的编制单位,连的下一级,班的上一级。",1,一排子弹
5712,排,pái,57123,3,"军队的编制单位,连的下一级,班的上一级。",2,一排椅子
32091,泓,hóng,320911,1,水深而广。,1,一泓清泉
32091,泓,hóng,320911,1,水深而广。,2,一泓秋水。
6901,波,bō,69012,2,"振动在介质中的传播过程。波是振动形式的传播,介质质点本身并不随波前进。最常见的有机械波和电磁波。",2,"一波未平,一波又起。"
47201,炷,zhù,472012,2,烧(香)。,1,一炷香。
17541,箭,jiàn,175411,1,"古代兵器,长约二三尺的细杆装上尖头,杆的末梢附有羽毛,搭在弓弩上发射。现代射箭运动用的箭一般用钢、铝合金、塑料等制成。",1,一箭之遥
8471,纸,zhǐ,84711,1,"写字、绘画、印刷、包装等所用的东西,多用植物纤维制造。",1,一纸公文
8471,纸,zhǐ,84711,1,"写字、绘画、印刷、包装等所用的东西,多用植物纤维制造。",2,一纸禁令
1171,三,sān,11711,1,"数目,二加一后所得。",2,"一而再,再而三。"
2281,门,mén,22820,10,"生物学中把具有最基本最显著的共同特征的生物分为若干群,每一群叫一门,如原生动物门、裸子植物门等。门以下为纲。",1,一门大炮。
2281,门,mén,22821,11,"压宝时下赌注的位置名称,也用来表示赌博者的位置,有‘天门’、‘青龙’等名目。",1,一门大炮。
4041,律,lǜ,40412,2,"中国古代审定乐音高低的标准,把乐音分为六律和六吕,合称十二律。",2,七律
3962,万,wàn,39621,1,<数目numeral〉十个千。,2,万事
3962,万,wàn,39621,1,<数目numeral〉十个千。,1,万国
33611,锭,dìng,336111,1,锭子。,3,万应锭。
3962,万,wàn,39621,1,<数目numeral〉十个千。,4,万水千山。
3962,万,wàn,39621,1,<数目numeral〉十个千。,3,万物
42901,籁,lài,429011,1,古代的一种箫。,1,万籁俱寂。
3551,热,rè,35511,1,物体内部分子不规则运动放出的一种能。物质燃烧都能产生热。,3,三伏天很热。
2582,场,chǎng,25826,6,"戏剧中较小的段落, 每场表演故事的一个片段。",1,三场球赛
37612,耙,bà,376121,1,碎土、平地的农具。它的用处是把耕过的地里的大土块弄碎弄平。有钉齿耙和圆盘耙等。,1,三犁三耙
1171,三,sān,11711,1,"数目,二加一后所得。",1,三番五次
10281,皇,huáng,102811,1,盛大。,2,三皇五帝。
523,种,zhǒng,5234,4,指胆量或骨气(跟‘有、没有’连用,2,三种布
2281,门,mén,22820,10,"生物学中把具有最基本最显著的共同特征的生物分为若干群,每一群叫一门,如原生动物门、裸子植物门等。门以下为纲。",3,三门功课
2281,门,mén,22821,11,"压宝时下赌注的位置名称,也用来表示赌博者的位置,有‘天门’、‘青龙’等名目。",3,三门功课
5712,排,pái,57123,3,"军队的编制单位,连的下一级,班的上一级。",3,上下两排牙齿。
10091,午,wǔ,100911,1,地支的第七位。,2,上午
7061,策,cè,70613,3,"中国数学上曾经用过的一种计算工具,形状跟‘筹’相似。清代初期把乘法的九九口诀写在上面以计算乘除和开平方。",1,上策
10091,午,wǔ,100911,1,地支的第七位。,3,下午
6041,刻,kè,60412,2,"用漏壶记时,一昼夜共一百刻。",1,下午五点一刻开车。
30761,诏,zhào,307611,1,告诉;告诫。,1,下诏。
4951,值,zhí,49513,3,"用数字表示的量或数学运算所能得到的每一个结果,如ɑ取值10, b取值8,则代数式ɑb的值为10×8=80。",1,不值一提
36642,矜,jīn,366421,1,怜悯;怜惜。,1,不矜不伐(不自大自夸)
1871,第,dì,18711,1,"用在整数的数词的前边,表示次序,如第一、第十。",3,不第。
5882,纪,jì,58822,2,"义同‘记’,主要用于‘纪念、纪年、纪元、纪传’等,别的地方多用‘记’。",1,世纪
1011,业,yè,10116,6,"佛教徒称一切行为、言语、思想为业,分别叫做身业、口业、意业,合称三业,包括善恶两面,一般专指恶业。",1,业农
1011,业,yè,10116,6,"佛教徒称一切行为、言语、思想为业,分别叫做身业、口业、意业,合称三业,包括善恶两面,一般专指恶业。",2,业商。
2911,白,bái,29111,1,"像霜或雪的颜色,是物体被日光或与日光相似的光线照射,各种波长的光都被反射时呈现的颜色(跟‘黑’相对as opposed to‘black’})。",1,东方发白
552,经,jīng,5522,2,〈中医Chin. med.〉指人体内气血运行通路的主干。,1,东经
23122,杠,gàng,231222,2,"体操器械,有单杠、双杠、高低杠等。",1,丝杠。
8031,担,dàn,80312,2,"重量单位,100斤等于1担。",2,两担柴。
523,种,zhǒng,5234,4,指胆量或骨气(跟‘有、没有’连用,1,两种人
18691,翼,yì,186911,1,"鸟类的飞行器官,由前肢演化而成,上面生有羽毛。有的鸟翼退化,不能飞翔。",1,两翼阵地
18691,翼,yì,186912,2,"飞机或滑翔机等飞行工具两侧伸出像鸟翼的部分,有支撑机身、产生升力等作用。",1,两翼阵地
2281,门,mén,22820,10,"生物学中把具有最基本最显著的共同特征的生物分为若干群,每一群叫一门,如原生动物门、裸子植物门等。门以下为纲。",4,两门技术。
2281,门,mén,22821,11,"压宝时下赌注的位置名称,也用来表示赌博者的位置,有‘天门’、‘青龙’等名目。",4,两门技术。
5882,纪,jì,58822,2,"义同‘记’,主要用于‘纪念、纪年、纪元、纪传’等,别的地方多用‘记’。",2,中世纪。
10091,午,wǔ,100911,1,地支的第七位。,1,中午
451,主,zhǔ,4515,5,基督教徒对上帝、伊斯兰教徒对真主的称呼。,2,主力。
451,主,zhǔ,4515,5,基督教徒对上帝、伊斯兰教徒对真主的称呼。,1,主要
2931,金,jīn,29314,4,"金属元素,符号Au(aurum)。黄色,质软,延展性强,化学性质稳定。是贵重金属,用来制造货币、装饰品等。",2,乌金墨玉(煤炭)。
4141,九,jiǔ,41411,1,"数目,八加一后所得。",3,九尽寒尽。
26191,绅,shēn,261911,1,士大夫束在腰间的大带子。,1,乡绅
20291,亭,tíng,202911,1,亭子。,2,书亭。
22791,契,qì,227911,1,用刀雕刻。,1,书契
33721,札,zhá,337211,1,写字用的小而薄的木片。,1,书札
2731,目,mù,27315,5,"生物学中把同一纲的生物按照彼此相似的特征分为几个群叫做目,如鸟纲中有雁形目、鸡形目、鹤形目等,松柏纲中有银杏目、松柏目等。目以下为科。",1,书目
24761,乾,qián,247611,1,八卦之一，代表天。,2,乾宅。
24761,乾,qián,247611,1,八卦之一，代表天。,1,乾造
13581,梁,liáng,135811,1,水平方向的长条形承重构件。木结构屋架中专指顺着前后方向架在柱子上的长木。,2,二梁
2861,眼,yǎn,28614,4,"围棋用语,成片的白子或黑子中间的空儿,在这个空儿中对手不能下成活棋。",1,"二黄慢板,一板三眼。"
4041,律,lǜ,40412,2,"中国古代审定乐音高低的标准,把乐音分为六律和六吕,合称十二律。",1,五律
1201,点,diǎn,12031,21,"铁制的响器,挂起来敲,用来报告时间或召集群众。",1,五更三点。
3211,步,bù,32114,4,"旧制长度单位,1步等于5尺。",2,亦步亦趋。
9141,玉,yù,91411,1,"矿物,硬玉和软玉的统称,质地细而有光泽,可用来制造装饰品或做雕刻的材料。",2,亭亭玉立。
10971,股,gǔ,109711,1,大腿。,2,人事股。
1671,手,shǒu,16711,1,人体上肢前端能拿东西的部分。,1,人手一册。
2081,海,hǎi,20811,1,"大洋靠近陆地的部分,有的大湖也叫海,如青海、里海。",1,人海
38991,噎,yē,389912,2,因为迎风而呼吸困难。,1,他一句话就把人家给噎回去了。
2831,将,jiāng,28315,5,下象棋时攻击对方的‘将’或‘帅’。,1,"他做事稳重,你将他没用。"
1201,点,diǎn,12022,12,,1,他点了点头。
